celltype,contrast,symbol,mean_A,mean_B,delta_log,n_A,n_B,welch_p,note,bh_q
SatelliteGlia,CCI_vs_Sham,CCDC160,0.021209122613072395,0.04194878041744232,-0.020739657804369926,2,2,0.38307738304138184,n=2v2 sample-level; descriptive only,
SatelliteGlia,CCI_vs_Sham,SLC2A1,0.23390161991119385,0.3032051622867584,-0.06930354237556458,2,2,0.3930501341819763,n=2v2 sample-level; descriptive only,
SatelliteGlia,CCI_vs_Sham,ANKRD13B,0.07398457080125809,0.04626542329788208,0.027719147503376007,2,2,0.3063509166240692,n=2v2 sample-level; descriptive only,
SatelliteGlia,CCI_vs_Sham,NPY,0.05748002231121063,0.0018523248145356774,0.055627696216106415,2,2,0.1737358570098877,n=2v2 sample-level; descriptive only,
SatelliteGlia,CCI_vs_Sham,AXL,0.30944710969924927,0.26859623193740845,0.04085087776184082,2,2,0.641228973865509,n=2v2 sample-level; descriptive only,
SatelliteGlia,CCI_vs_Sham,SERPINE1,0.0037904931232333183,0.0,0.0037904931232333183,2,2,0.4999999701976776,n=2v2 sample-level; descriptive only,
SatelliteGlia,CCI_vs_Sham,WBP1L,0.12452179193496704,0.10996133089065552,0.014560461044311523,2,2,0.68291836977005,n=2v2 sample-level; descriptive only,
SatelliteGlia,CCI_vs_Sham,ITPKC,0.010629381984472275,0.03048299252986908,-0.019853610545396805,2,2,0.07417577505111694,n=2v2 sample-level; descriptive only,
SatelliteGlia,CCI_vs_Sham,ACVR1,0.09133478999137878,0.07920251041650772,0.012132279574871063,2,2,0.3725968897342682,n=2v2 sample-level; descriptive only,
SatelliteGlia,CCI_vs_Sham,LNP1,0.0,0.0,0.0,2,2,,n=2v2 sample-level; descriptive only,
SatelliteGlia,CCI_vs_Sham,AGRN,0.26610106229782104,0.15546530485153198,0.11063575744628906,2,2,0.03827937692403793,n=2v2 sample-level; descriptive only,
SatelliteGlia,CCI_vs_Sham,VIP,0.0,0.0,0.0,2,2,,n=2v2 sample-level; descriptive only,
SatelliteGlia,CCI_vs_Sham,REG3B,0.0031950322445482016,0.0,0.0031950322445482016,2,2,0.4999999701976776,n=2v2 sample-level; descriptive only,
SatelliteGlia,CCI_vs_Sham,TNS3,0.5849803686141968,0.5850083827972412,-2.8014183044433594e-05,2,2,0.9998147487640381,n=2v2 sample-level; descriptive only,
SatelliteGlia,CCI_vs_Sham,ANKRD1,0.0,0.0,0.0,2,2,,n=2v2 sample-level; descriptive only,
SatelliteGlia,CCI_vs_Sham,CTTN,0.27909934520721436,0.17802587151527405,0.10107347369194031,2,2,0.18721742928028107,n=2v2 sample-level; descriptive only,
SatelliteGlia,CCI_vs_Sham,RUBCN,0.08084392547607422,0.06886256486177444,0.011981360614299774,2,2,0.4506361484527588,n=2v2 sample-level; descriptive only,
SatelliteGlia,CCI_vs_Sham,MEGF11,0.05983343720436096,0.03494700789451599,0.02488642930984497,2,2,0.5599555373191833,n=2v2 sample-level; descriptive only,
Schwann,CCI_vs_Sham,SPRR1A,0.3561163544654846,0.008521981537342072,0.34759438037872314,2,2,0.002310478826984763,n=2v2 sample-level; descriptive only,
Schwann,CCI_vs_Sham,ATF3,1.111844778060913,1.0008848905563354,0.11095988750457764,2,2,0.10262242704629898,n=2v2 sample-level; descriptive only,
Schwann,CCI_vs_Sham,TFE3,0.17087088525295258,0.1448235958814621,0.02604728937149048,2,2,0.10525774210691452,n=2v2 sample-level; descriptive only,
Schwann,CCI_vs_Sham,CDHR5,0.0,0.0002469783357810229,-0.0002469783357810229,2,2,0.4999999701976776,n=2v2 sample-level; descriptive only,
Schwann,CCI_vs_Sham,GALNS,0.010126057080924511,0.005735587328672409,0.004390469752252102,2,2,0.18546585738658905,n=2v2 sample-level; descriptive only,
