chembl_id,affinity,n_modes,rmsd_lb,rmsd_ub,sec,rc,err,symbol,tag,exh,max_evals
CHEMBL1200351,-6.732,3,0.0,0.0,8.04,0,,ACVR1,t2_other,1,0
CHEMBL1200353,-6.421,3,0.0,0.0,10.42,0,,ACVR1,t2_other,1,0
CHEMBL1200354,-5.832,2,0.0,0.0,15.27,0,,ACVR1,t2_other,1,0
CHEMBL1200356,-7.371,2,0.0,0.0,12.39,0,,ACVR1,t2_other,1,0
CHEMBL1200357,-8.674,2,0.0,0.0,40.66,0,,ACVR1,t2_other,1,0
CHEMBL1200358,-5.327,2,0.0,0.0,3.61,0,,ACVR1,t2_other,1,0
CHEMBL1200359,-6.957,2,0.0,0.0,10.8,0,,ACVR1,t2_other,1,0
CHEMBL1200360,-6.358,2,0.0,0.0,6.54,0,,ACVR1,t2_other,1,0
CHEMBL1200365,-6.292,2,0.0,0.0,6.23,0,,ACVR1,t2_other,1,0
CHEMBL1200366,-7.668,3,0.0,0.0,15.52,0,,ACVR1,t2_other,1,0
CHEMBL1200367,-4.441,1,0.0,0.0,10.01,0,,ACVR1,t2_other,1,0
CHEMBL1200368,-10.15,1,0.0,0.0,26.69,0,,ACVR1,t2_other,1,0
CHEMBL1200370,-7.125,1,0.0,0.0,8.05,0,,ACVR1,t2_other,1,0
CHEMBL1200374,-9.471,3,0.0,0.0,4.11,0,,ACVR1,t2_other,1,0
CHEMBL1200376,-7.987,2,0.0,0.0,26.96,0,,ACVR1,t2_other,1,0
CHEMBL1200377,-5.355,2,0.0,0.0,4.2,0,,ACVR1,t2_other,1,0
CHEMBL1200379,-7.1,3,0.0,0.0,5.55,0,,ACVR1,t2_other,1,0
CHEMBL1200380,-6.118,2,0.0,0.0,8.9,0,,ACVR1,t2_other,1,0
CHEMBL1200381,-5.095,3,0.0,0.0,8.94,0,,ACVR1,t2_other,1,0
CHEMBL1200382,-8.189,1,0.0,0.0,26.45,0,,ACVR1,t2_other,1,0
CHEMBL1200383,-9.347,1,0.0,0.0,10.68,0,,ACVR1,t2_other,1,0
CHEMBL1200384,-7.038,2,0.0,0.0,30.93,0,,ACVR1,t2_other,1,0
CHEMBL1200385,-7.89,1,0.0,0.0,25.26,0,,ACVR1,t2_other,1,0
CHEMBL1200386,-8.098,2,0.0,0.0,28.46,0,,ACVR1,t2_other,1,0
CHEMBL1200387,-5.355,2,0.0,0.0,4.18,0,,ACVR1,t2_other,1,0
CHEMBL1200388,-8.933,2,0.0,0.0,17.33,0,,ACVR1,t2_other,1,0
