symbol,chembl_id,pchembl_max,standard_type,chembl_target,source,pref_name,atc,pain_prior
ADRA2A,CHEMBL1215,6.51,EC50,CHEMBL1867,ChEMBL_activity,PHENYLEPHRINE,R01AA04;R01BA53;R01BA03;S01FB01;S01GA05;C01CA06;S01GA55;C05AX06;R01AB01,False
ADRA2A,CHEMBL76370,6.51,AC50,CHEMBL1867,ChEMBL_activity,TEGASEROD,A06AX06,False
ADRA2A,CHEMBL621,6.47,Ki,CHEMBL1867,ChEMBL_activity,TRAZODONE,N06AX05,False
ADRA2A,CHEMBL1714574,6.43,Ki,CHEMBL1867,ChEMBL_activity,TERCONAZOLE,G01AG02,False
ADRA2A,CHEMBL1411979,6.36,Ki,CHEMBL1867,ChEMBL_activity,METHAPYRILENE,R06AC05,False
ADRA2A,CHEMBL1289,6.34,Ki,CHEMBL1867,ChEMBL_activity,HALOPROGIN,D01AE11,False
ADRA2A,CHEMBL333826,6.33,AC50,CHEMBL1867,ChEMBL_activity,DEQUALINIUM,G01AC05;D08AH01;R02AA02,False
ADRA2A,CHEMBL1113,6.31,Ki,CHEMBL1867,ChEMBL_activity,AMOXAPINE,N06AA17,False
ADRA2A,CHEMBL1628227,6.3,Ki,CHEMBL1867,ChEMBL_activity,DOXEPIN,D04AX01;N06AA12,False
ADRA2A,CHEMBL1707,6.3,EC50,CHEMBL1867,ChEMBL_activity,LOPERAMIDE HYDROCHLORIDE,,False
ADRA2A,CHEMBL55,6.29,Ki,CHEMBL1867,ChEMBL_activity,PENTAMIDINE,,False
ADRA2A,CHEMBL415,6.28,Ki,CHEMBL1867,ChEMBL_activity,CLOMIPRAMINE,N06AA04,False
ADRA2A,CHEMBL908,6.28,AC50,CHEMBL1867,ChEMBL_activity,CHLORPROTHIXENE,N05AF03,False
ADRA2A,CHEMBL59,6.28,AC50,CHEMBL1867,ChEMBL_activity,DOPAMINE,C01CA04,False
ADRA2A,CHEMBL611,6.26,Ki,CHEMBL1867,ChEMBL_activity,TERAZOSIN,G04CA03,False
ADRA2A,CHEMBL395110,6.26,Ki,CHEMBL1867,ChEMBL_activity,MEPAZINE,,False
ADRA2A,CHEMBL648,6.24,Ki,CHEMBL1867,ChEMBL_activity,CYCLIZINE,R06AE53;R06AE03,False
ADRA2A,CHEMBL1201356,6.22,Ki,CHEMBL1867,ChEMBL_activity,METHYLERGONOVINE,G02AB01,False
ADRA2A,CHEMBL1065,6.21,Ki,CHEMBL1867,ChEMBL_activity,METHYSERGIDE,N02CA04,False
ADRA2A,CHEMBL81,6.21,Ki,CHEMBL1867,ChEMBL_activity,RALOXIFENE,G03XC01,False
ADRA2A,CHEMBL1729,6.18,Ki,CHEMBL1867,ChEMBL_activity,CISAPRIDE,A03FA02,False
ADRA2A,CHEMBL21731,6.17,Ki,CHEMBL1867,ChEMBL_activity,MAPROTILINE,N06AA21,False
ADRA2A,CHEMBL972,6.17,Ki,CHEMBL1867,ChEMBL_activity,SELEGILINE,N04BD01,False
ADRA2A,CHEMBL24778,6.17,Ki,CHEMBL1867,ChEMBL_activity,SILODOSIN,G04CA04,False
ADRA2A,CHEMBL707,6.14,Ki,CHEMBL1867,ChEMBL_activity,DOXAZOSIN,C02CA04,False
ADRA2A,CHEMBL83,6.14,Ki,CHEMBL1867,ChEMBL_activity,TAMOXIFEN,L02BA01,False
ADRA2A,CHEMBL1201250,6.13,AC50,CHEMBL1867,ChEMBL_activity,BENZQUINAMIDE,,False
ADRA2A,CHEMBL404849,6.12,Ki,CHEMBL1867,ChEMBL_activity,SULOCTIDIL,C04AX19,False
ADRA2A,CHEMBL26,6.12,Ki,CHEMBL1867,ChEMBL_activity,SULPIRIDE,N05AL01,False
ADRA2A,CHEMBL1201,6.12,AC50,CHEMBL1867,ChEMBL_activity,THIOTHIXENE,N05AF04,False
ADRA2A,CHEMBL900,6.09,Ki,CHEMBL1867,ChEMBL_activity,ORPHENADRINE,M03BC51,False
ADRA2A,CHEMBL534,6.09,Ki,CHEMBL1867,ChEMBL_activity,KETOTIFEN,R06AX17;S01GX08,False
ADRA2A,CHEMBL3989843,6.08,AC50,CHEMBL1867,ChEMBL_activity,TRANYLCYPROMINE,N06AF04,False
ADRA2A,CHEMBL770,6.08,AC50,CHEMBL1867,ChEMBL_activity,TOLAZOLINE,M02AX02;C04AB02,False
ADRA2A,CHEMBL7568,6.07,Ki,CHEMBL1867,ChEMBL_activity,QUINACRINE,P01AX05,False
ADRA2A,CHEMBL639,6.07,AC50,CHEMBL1867,ChEMBL_activity,AZELASTINE,R01AC03;R06AX19;S01GX07,False
ADRA2A,CHEMBL3786343,6.05,AC50,CHEMBL1867,ChEMBL_activity,OLMUTINIB,L01EB06,False
ADRA2A,CHEMBL831,6.05,AC50,CHEMBL1867,ChEMBL_activity,LOXAPINE,N05AH01,False
ADRA2A,CHEMBL708,6.05,AC50,CHEMBL1867,ChEMBL_activity,ZIPRASIDONE,N05AE04,False
ADRA2A,CHEMBL570,6.04,AC50,CHEMBL1867,ChEMBL_activity,TRIFLUPROMAZINE,N05AA05,False
ADRA2A,CHEMBL829,6.04,AC50,CHEMBL1867,ChEMBL_activity,METHYLPROMAZINE,R06AD01,False
ADRA2A,CHEMBL716,6.03,Ki,CHEMBL1867,ChEMBL_activity,QUETIAPINE,N05AH04,False
ADRA2A,CHEMBL1290,6.01,AC50,CHEMBL1867,ChEMBL_activity,PENBUTOLOL,C07AA23,False
AXL,CHEMBL2105717,9.3,IC50,CHEMBL4895,ChEMBL_activity,CABOZANTINIB,L01EX07,False
AXL,CHEMBL3301622,9.14,IC50,CHEMBL4895,ChEMBL_activity,GILTERITINIB,L01EX13,False
AXL,CHEMBL601719,8.48,IC50,CHEMBL4895,ChEMBL_activity,CRIZOTINIB,L01ED01,False
AXL,CHEMBL535,8.05,Kd,CHEMBL4895,ChEMBL_activity,SUNITINIB,L01EX01,False
AXL,CHEMBL502835,7.92,Kd,CHEMBL4895,ChEMBL_activity,NINTEDANIB,L01EX09,False
AXL,CHEMBL1983268,7.4,Ki,CHEMBL4895,ChEMBL_activity,ENTRECTINIB,L01EX14,False
AXL,CHEMBL288441,7.28,Kd,CHEMBL4895,ChEMBL_activity,BOSUTINIB,L01EA04,False
AXL,CHEMBL1287853,6.8,Kd,CHEMBL4895,ChEMBL_activity,FEDRATINIB,L01EJ02,False
AXL,CHEMBL1336,6.8,Ki,CHEMBL4895,ChEMBL_activity,SORAFENIB,L01EX02,False
AXL,CHEMBL180022,6.72,Kd,CHEMBL4895,ChEMBL_activity,NERATINIB,L01EH02,False
AXL,CHEMBL24828,6.6,Kd,CHEMBL4895,ChEMBL_activity,VANDETANIB,L01EX04,False
AXL,CHEMBL1289926,6.38,Kd,CHEMBL4895,ChEMBL_activity,AXITINIB,L01EK01,False
AXL,CHEMBL608533,6.21,Kd,CHEMBL4895,ChEMBL_activity,MIDOSTAURIN,L01EX10,False
MAPK14,CHEMBL1336,7.8,Ki,CHEMBL260,ChEMBL_activity,SORAFENIB,L01EX02,False
MAPK14,CHEMBL5416410,7.57,Kd,CHEMBL260,ChEMBL_activity,DASATINIB,,False
MAPK14,CHEMBL496,7.06,IC50,CHEMBL260,ChEMBL_activity,HEXACHLOROPHENE,D08AE01,False
MAPK14,CHEMBL1171837,6.81,Kd,CHEMBL260,ChEMBL_activity,PONATINIB,L01EA05,False
MAPK14,CHEMBL1289601,6.66,Kd,CHEMBL260,ChEMBL_activity,LENVATINIB,L01EX08,False
MAPK14,CHEMBL290106,6.5,IC50,CHEMBL260,ChEMBL_activity,BITHIONOL,D10AB01;P02BX01,False
MAPK14,CHEMBL603,6.45,IC50,CHEMBL260,ChEMBL_activity,ZAFIRLUKAST,R03DC01,False
MAPK14,CHEMBL3348923,6.45,Kd,CHEMBL260,ChEMBL_activity,TOVORAFENIB,,False
MAPK14,CHEMBL255863,6.34,Kd,CHEMBL260,ChEMBL_activity,NILOTINIB,L01EA03,False
MAPK14,CHEMBL939,6.3,Ki,CHEMBL260,ChEMBL_activity,GEFITINIB,L01EB01,False
MAPK14,CHEMBL416146,6.28,IC50,CHEMBL260,ChEMBL_activity,ETORICOXIB,M01AH05,False
MAPK14,CHEMBL24944,6.15,IC50,CHEMBL260,ChEMBL_activity,TRIBROMSALAN,,False
MAPK14,CHEMBL1946170,6.15,Kd,CHEMBL260,ChEMBL_activity,REGORAFENIB,L01EX05,False
MAPK14,CHEMBL118,6.09,IC50,CHEMBL260,ChEMBL_activity,CELECOXIB,M01AH01;L01XX33,True
MAPK14,CHEMBL787,6.07,IC50,CHEMBL260,ChEMBL_activity,MONTELUKAST,R03DC53;R03DC03,False
MAPK14,CHEMBL1421,6.03,Kd,CHEMBL260,ChEMBL_activity,DASATINIB ANHYDROUS,L01EA02,False
SLC2A1,CHEMBL50588,6.97,IC50,CHEMBL2535,ChEMBL_activity,EMETINE,P01AX52;P01AX02,False
TNIK,CHEMBL288441,7.64,Kd,CHEMBL4527,ChEMBL_activity,BOSUTINIB,L01EA04,False
TNIK,CHEMBL535,7.6,Kd,CHEMBL4527,ChEMBL_activity,SUNITINIB,L01EX01,False
TNIK,CHEMBL502835,7.28,Kd,CHEMBL4527,ChEMBL_activity,NINTEDANIB,L01EX09,False
TNIK,CHEMBL2035187,7.05,Kd,CHEMBL4527,ChEMBL_activity,PACRITINIB,L01EJ03,False
TNIK,CHEMBL180022,6.85,Kd,CHEMBL4527,ChEMBL_activity,NERATINIB,L01EH02,False
TNIK,CHEMBL1289926,6.75,Kd,CHEMBL4527,ChEMBL_activity,AXITINIB,L01EK01,False
TNIK,CHEMBL477772,6.51,Kd,CHEMBL4527,ChEMBL_activity,PAZOPANIB,L01EX03,False
TNIK,CHEMBL1171837,6.42,Kd,CHEMBL4527,ChEMBL_activity,PONATINIB,L01EA05,False
TNIK,CHEMBL1289601,6.25,Kd,CHEMBL4527,ChEMBL_activity,LENVATINIB,L01EX08,False
TNIK,CHEMBL576982,6.02,Kd,CHEMBL4527,ChEMBL_activity,QUIZARTINIB,L01EX11,False
