chembl_id,affinity,n_modes,rmsd_lb,rmsd_ub,sec,rc,err,symbol,tag,exh,max_evals,drug_lc,pref_name,mw,logp,tpsa,hbd,hba,rotb,charge,n_torsions,drh_phase,drh_moa,drh_indication,pain_prior,atc,scored,neg_aff,pct_in_target,n_ligands_target,z_in_target
CHEMBL1112,-9.082,2,0.0,0.0,28.7,0,,ACVR1,t1_cns,1,0,aripiprazole,ARIPIPRAZOLE,448.4,4.86,44.8,1.0,4.0,7.0,0.0,14.0,Launched,serotonin receptor agonist|serotonin receptor antagonist,depression|schizophrenia|bipolar disorder,False,N05AX12,True,9.082,85.41463414634146,3075.0,0.9843976253318896
CHEMBL1113,-9.178,3,0.0,0.0,5.88,0,,ACVR1,t1_cns,1,0,amoxapine,AMOXAPINE,313.8,3.43,36.9,1.0,4.0,0.0,0.0,0.0,Launched,norepinephrine reputake inhibitor,depression,False,N06AA17,True,9.178,86.89430894308943,3075.0,1.0459898721238619
CHEMBL1115,-5.495,2,0.0,0.0,4.76,0,,ACVR1,t1_cns,1,0,pyridostigmine,PYRIDOSTIGMINE,181.2,0.57,33.4,0.0,2.0,1.0,1.0,4.0,,,,False,N07AA02,True,5.495,10.16260162601626,3075.0,-1.3169710126139955
CHEMBL1118,-7.502,3,0.0,0.0,11.13,0,,ACVR1,t1_cns,1,0,desvenlafaxine,DESVENLAFAXINE,263.4,2.73,43.7,2.0,3.0,4.0,0.0,12.0,Launched,serotonin–norepinephrine reuptake inhibitor (SNRI),depression,False,N06AX23,True,7.502,45.41463414634146,3075.0,-0.029308103119323158
CHEMBL112,-5.884,3,0.0,0.0,4.91,0,,ACVR1,t1_cns,1,0,acetaminophen,ACETAMINOPHEN,151.2,1.35,49.3,2.0,2.0,1.0,0.0,4.0,,,,False,N02BE51;N02BE01;N02BE71,True,5.884,14.243902439024389,3075.0,-1.0673940959256907
CHEMBL113,-5.581,2,0.0,0.0,4.12,0,,ACVR1,t1_cns,1,0,caffeine,CAFFEINE,194.2,-1.03,61.8,0.0,3.0,0.0,0.0,0.0,Launched,adenosine receptor antagonist|phosphodiesterase inhibitor,fatigue|drowsiness,False,N06BC01;D11AX26,True,5.581,10.78048780487805,3075.0,-1.2617946248628533
CHEMBL1165342,-9.456,2,0.0,0.0,10.75,0,,ACVR1,t1_cns,1,0,vincamine,VINCAMINE,354.5,2.95,54.7,1.0,4.0,2.0,0.0,8.0,Withdrawn,adrenergic receptor antagonist,,False,C04AX07,True,9.456,90.5691056910569,3075.0,1.2243507534589477
CHEMBL1172,-5.262,3,0.0,0.0,22.64,0,,ACVR1,t1_cns,1,0,desloratadine,DESLORATADINE,310.8,4.02,24.9,1.0,2.0,0.0,0.0,8.0,Launched,histamine receptor antagonist,allergic rhinitis|urticaria,False,R06AX27,True,5.262,8.422764227642276,3075.0,-1.4664605282653453
CHEMBL117287,-7.569,2,0.0,0.0,19.24,0,,ACVR1,t1_cns,1,0,prucalopride,PRUCALOPRIDE,367.9,2.09,76.8,2.0,5.0,6.0,0.0,14.0,Launched,serotonin receptor agonist,constipation,False,A06AX05,True,7.569,47.36585365853658,3075.0,0.013678152454241008
CHEMBL1175,-7.918,2,0.0,0.0,12.92,0,,ACVR1,t1_cns,1,0,duloxetine,DULOXETINE,297.4,4.63,21.3,1.0,3.0,6.0,0.0,12.0,Launched,norepinephrine reuptake inhibitor|serotonin–norepinephrine reuptake inhibitor (SNRI),depression|generalized anxiety disorder (GAD)|muscle pain|peripheral neuropathy,True,N06AX21,True,7.918,55.365853658536594,3075.0,0.23759163297922406
CHEMBL1177,-6.424,2,0.0,0.0,5.65,0,,ACVR1,t1_cns,1,0,pemoline,PEMOLINE,176.2,0.6,64.7,1.0,3.0,1.0,0.0,2.0,,,,False,N06BA05,True,6.424,22.276422764227643,3075.0,-0.720937707720846
CHEMBL117785,-7.316,2,0.0,0.0,9.33,0,,ACVR1,t1_cns,1,0,tetrabenazine,TETRABENAZINE,317.4,3.24,38.8,0.0,4.0,4.0,0.0,8.0,Launched,vesicular monoamine transporter inhibitor,cholera|Huntington's disease,False,N07XX06,True,7.316,40.390243902439025,3075.0,-0.1486430812787696
CHEMBL1179047,-6.15,2,0.0,0.0,13.07,0,,ACVR1,t1_cns,1,0,chloroprocaine,CHLOROPROCAINE,270.8,2.42,55.6,1.0,4.0,6.0,0.0,16.0,Launched,sodium channel blocker,local anesthetic,False,S01HA08;N01BA04,True,6.15,17.121951219512198,3075.0,-0.8967322454396004
CHEMBL118,-9.332,1,0.0,0.0,16.13,0,,ACVR1,t1_cns,1,0,celecoxib,CELECOXIB,381.4,3.51,78.0,1.0,3.0,3.0,0.0,10.0,Launched,cyclooxygenase inhibitor,osteoarthritis|rheumatoid arthritis|ankylosing spondylitis|primary dysmenorrhea (PD),True,M01AH01;L01XX33,True,9.332,89.3658536585366,3075.0,1.144794101352651
CHEMBL1180725,-8.048,3,0.0,0.0,19.93,0,,ACVR1,t1_cns,1,0,propantheline,PROPANTHELINE,368.5,4.73,35.5,0.0,3.0,6.0,1.0,14.0,Launched,acetylcholine receptor antagonist,peptic ulcer disease (PUD),False,A03AB05,True,8.048,59.12195121951219,3075.0,0.3209978005100199
CHEMBL1185,-7.42,2,0.0,0.0,12.25,0,,ACVR1,t1_cns,1,0,zolmitriptan,ZOLMITRIPTAN,287.4,1.92,57.4,2.0,3.0,5.0,0.0,10.0,Launched,serotonin receptor agonist,migraine headache,True,N02CC03,True,7.42,43.447154471544714,3075.0,-0.0819181472541328
CHEMBL1186579,-8.19,3,0.0,0.0,11.05,0,,ACVR1,t1_cns,1,0,methylnaltrexone,METHYLNALTREXONE,356.4,1.67,66.8,2.0,4.0,2.0,1.0,8.0,Launched,opioid receptor antagonist,constipation,False,,True,8.19,62.68292682926829,3075.0,0.41210299888981206
CHEMBL1186610,-6.57,2,0.0,0.0,12.16,0,,ACVR1,t1_cns,1,0,anisotropine,ANISOTROPINE,282.4,3.52,26.3,0.0,2.0,6.0,1.0,14.0,Launched,acetylcholine receptor antagonist,peptic ulcer disease (PUD),False,,True,6.57,24.73170731707317,3075.0,-0.6272661657247214
CHEMBL1187833,-8.777,2,0.0,0.0,32.35,0,,ACVR1,t1_cns,1,0,umeclidinium,UMECLIDINIUM,428.6,5.14,29.5,1.0,2.0,8.0,1.0,18.0,Launched,acetylcholine receptor antagonist,chronic obstructive pulmonary disease (COPD)|bronchitis|emphysema,False,,True,8.777,78.58536585365854,3075.0,0.7887139245865596
CHEMBL1189432,-8.587,2,0.0,0.0,14.6,0,,ACVR1,t1_cns,1,0,olopatadine,OLOPATADINE,337.4,3.59,49.8,1.0,3.0,5.0,0.0,12.0,Launched,histamine receptor antagonist,conjunctivitis,False,R01AC08;S01GX09,True,8.587,73.90243902439025,3075.0,0.6668126028107813
CHEMBL1189679,-9.41,3,0.0,0.0,8.22,0,,ACVR1,t1_cns,1,0,palonosetron,PALONOSETRON,296.4,2.66,23.6,0.0,2.0,1.0,0.0,2.0,Launched,serotonin receptor antagonist,nausea|vomiting,False,A04AA55;A04AA05,True,9.41,90.11382113821138,3075.0,1.194837801871128
CHEMBL1190,-4.993,3,0.0,0.0,19.25,0,,ACVR1,t1_cns,1,0,decamethonium,DECAMETHONIUM,258.5,3.52,0.0,0.0,0.0,11.0,2.0,22.0,Launched,acetylcholine receptor agonist,muscle relaxant,False,,True,4.993,7.170731707317072,3075.0,-1.6390471364636843
CHEMBL1193,-7.374,2,0.0,0.0,10.14,0,,ACVR1,t1_cns,1,0,pheniramine,PHENIRAMINE,240.4,3.17,16.1,0.0,2.0,5.0,0.0,10.0,Launched,histamine receptor antagonist,allergic rhinitis|urticaria,False,D04AA16;R06AB05,True,7.374,42.16260162601626,3075.0,-0.11143109884195307
CHEMBL1194,-6.515,3,0.0,0.0,9.27,0,,ACVR1,t1_cns,1,0,prilocaine,PRILOCAINE,220.3,2.32,41.1,2.0,2.0,5.0,0.0,10.0,Launched,local anesthetic,anesthetic,False,N01BB04;N01BB54,True,6.515,23.67479674796748,3075.0,-0.6625533904492892
CHEMBL1194325,-8.581,3,0.0,0.0,42.75,0,,ACVR1,t1_cns,1,0,aclidinium,ACLIDINIUM,484.7,4.67,55.8,1.0,6.0,9.0,1.0,22.0,Launched,acetylcholine receptor antagonist,bronchitis|emphysema|chronic obstructive pulmonary disease (COPD),False,,True,8.581,73.67479674796748,3075.0,0.6629630873862828
CHEMBL1195,-6.267,2,0.0,0.0,20.0,0,,ACVR1,t1_cns,1,0,propoxycaine,PROPOXYCAINE,294.4,2.56,64.8,1.0,5.0,9.0,0.0,22.0,Launched,local anesthetic,anesthetic,False,,True,6.267,19.170731707317074,3075.0,-0.8216666946618841
