,symbol,K_ni,Z_NI,p_NI,FDR_NI,ni_consistency,Z_NI_RE,p_NI_RE,FDR_NI_RE,incision_Z,incision_agreement
12659,FUT11,4,0.8072941178004953,0.41949705214054833,0.5279436745004833,0.75,0.8072941178004953,0.41949705214054833,0.6398963419989269,,
12660,MRM3,5,-0.6372887723319438,0.5239367629668668,0.6264230930820268,0.8,-0.6372887723319439,0.5239367629668666,0.7266097854325626,-0.5046989268782369,1.0
12661,PER3,5,1.0852584903673432,0.2778071850894622,0.3794465168781182,1.0,1.0852584903673432,0.2778071850894622,0.4995941468492806,-0.22520085008110477,0.0
12662,KCNU1,4,-1.7765816604204558,0.07563709527761474,0.13069685781763016,1.0,-1.7765816604204558,0.07563709527761474,0.21652459374525757,1.242754551213813,0.0
12663,SEC11C,5,-0.008374419841359948,0.9933182578024299,0.99536286494405,0.6,-0.3133158729804783,0.7540406919209768,0.874784420486367,-1.5271140502950171,1.0
12664,ANXA6,5,-1.670080239790814,0.09490348915137134,0.15803244994300789,0.6,-0.35538134115464537,0.722303925365998,0.8560006055899595,1.1784118233909329,0.0
12665,SHOC2,5,-1.4838048758546973,0.1378606932103699,0.2150476104059978,0.8,-1.4838048758546973,0.1378606932103699,0.3230280569108214,0.8757960019097165,0.0
12666,NME3,4,-0.11945364976685388,0.9049159591572514,0.9340922329885142,0.5,-0.11945364976685388,0.9049159591572514,0.9587255300499792,-1.2897430414553963,1.0
12667,INSL6,4,1.5970442614847766,0.11025584133073696,0.17896976421558872,0.5,1.475323753790794,0.14012552318613117,0.3265780990955848,-1.0008048739764608,0.0
12668,TBC1D13,5,-1.656420623925863,0.09763666736500214,0.16180237467215813,0.6,-0.07796973249818333,0.9378521296421714,0.9731724137289692,1.157294778267537,0.0
12669,KCNV2,3,0.17008176340535744,0.8649458352455085,0.9035965327558481,0.6666666666666667,0.17008176340535747,0.8649458352455085,0.9373786070178521,1.194562617442664,1.0
12670,CYB5R1,5,0.5701983176081826,0.5685431970503994,0.6647184535058882,0.6,1.0719269261495739,0.28375285503810155,0.5059984116128697,0.6102752695434884,1.0
12671,ATL1,5,0.42724358481030944,0.669201918780585,0.7494337049835076,0.8,-0.7882879665661258,0.4305282847553449,0.6495771969980848,0.8422401350722238,1.0
12672,ZFP944,3,-0.8043367237506274,0.421202534134857,0.5295666042537146,1.0,-0.8043367237506275,0.4212025341348571,0.6413158260509755,,
12673,CDCA7,5,1.5220681994696028,0.12799199311837034,0.20222637171585203,0.8,1.5220681994696026,0.12799199311837045,0.30676563424489833,-0.9416782084737212,0.0
12674,WFS1,5,-1.6435750774312838,0.10026400548314594,0.16546060007547675,0.6,-0.17514241289997404,0.8609677326164746,0.9355826249328298,1.139591245790307,0.0
12675,LRRN4,5,1.1810551689639615,0.2375808077609175,0.3342488338341442,0.6,1.1109767474384167,0.266578358220509,0.4871356771876289,-0.3875974540907467,0.0
12676,IFT43,5,1.3940652502206272,0.16329790157232382,0.24714881303539987,0.6,1.0553264938102003,0.29127602815027565,0.5137913522965032,-0.7350406622720633,0.0
12677,RAB4A,5,-1.014314914447308,0.31043250959454627,0.41578563673805874,0.8,-1.0143149144473078,0.3104325095945464,0.5350996840514144,0.11726181016760154,0.0
12678,ANKRD2,3,0.7814681790477886,0.43452718515956024,0.5426098807062272,0.6666666666666666,0.8009414074452045,0.42316556701743824,0.6430624738590376,0.2757435065947519,1.0
12679,FAM120A,5,-1.8899123099485315,0.058769688911470955,0.10583902178612735,0.6,-0.1747445011607588,0.8612803988435226,0.9357343722781742,1.5435396440232763,0.0
12680,MMEL1,3,-1.969303097553452,0.04891829570734217,0.09076287754152311,0.6666666666666666,-0.8030245933586327,0.42196051994868,0.6421745610693776,1.50084660120815,0.0
12681,CDH13,5,-2.2632784037770692,0.02361853270952086,0.048472901848479764,0.8,-1.4536831595555704,0.14603416923899648,0.33488095642761956,2.1521510407008035,0.0
12682,OTUD6B,5,-0.86350816895785,0.3878581299801851,0.49654480373053006,0.6,-0.86350816895785,0.3878581299801851,0.6122236058473218,-0.12535833097662333,1.0
12683,PRSS39,3,0.424736519048848,0.6710287588216638,0.7507176759727056,0.6666666666666666,-0.0792588398112195,0.9368267443374739,0.9728478090291443,0.8056985373639906,1.0
12684,ZFP941,3,-0.8009704946880578,0.423148727251363,0.5315455758502847,0.6666666666666667,-0.8009704946880581,0.42314872725136277,0.6430624738590376,,
12685,CYP4F4,2,0.34782281185420016,0.727973256728802,0.7983973857258899,1.0,0.3478228118542002,0.727973256728802,0.8596898790935453,0.8703254926989711,1.0
12686,ACTL6A,5,1.4769937156794424,0.13967732184067472,0.21741422078445194,0.6,-0.2720695815191017,0.7855685180325312,0.891513891702054,-0.8747158307955915,0.0
12687,HEATR1,4,1.3870997269141083,0.1654113552942229,0.24979702366589515,0.75,-0.02334883548145635,0.9813720172357152,0.9919915003680099,-0.6595000238852496,0.0
12688,PABPC1L,3,0.7998389141913397,0.42380413357640623,0.5322311091772896,0.6666666666666666,0.8103727803785709,0.4177259571192531,0.6389343335993879,,
12689,HSDL1,5,0.36961558266346056,0.711668938828093,0.7858792631584893,0.6,0.8983069102036754,0.36902194952722156,0.5954427089661309,0.9258538000381183,1.0
12690,IL12A,3,2.148756490558449,0.03165370806152872,0.0624770064195592,0.6666666666666666,1.272145933880206,0.20332127328546168,0.41205666026613363,-1.7741933253754025,0.0
12691,IFT88,5,-1.5177091039632304,0.12908774799515582,0.2036660380150433,0.8,-1.51770910396323,0.1290877479951559,0.3086321543862228,0.9445745769354797,0.0
12692,ZFP617,5,-0.29984555699380505,0.7642949637122924,0.8268372705467885,0.8,-0.29984555699380516,0.7642949637122922,0.8807777093480373,-1.0377881501056287,1.0
12693,ARCN1,5,0.7562077365633665,0.4495246549673907,0.557009439213973,0.6,0.7562077365633664,0.4495246549673907,0.665819426310537,0.2946321335604585,1.0
12694,INSR,5,0.27576537614427066,0.7827282787194748,0.8405163143483033,0.6,0.27576537614427066,0.7827282787194748,0.8901826624546343,1.0761778152525125,1.0
12695,NAV3,5,0.051282946891738054,0.9591000566317538,0.9724363943258064,0.6,0.051282946891738054,0.9591000566317538,0.9828519153893505,1.4415075848993464,1.0
12696,TMEM80,3,0.7978881914673179,0.4249353765825308,0.5333280522591787,0.6666666666666666,0.5968689838625015,0.5505948565449312,0.7454151861223378,,
12697,PLPPR5,5,-2.011221050925264,0.044302113207790546,0.08343253815170658,1.0,-2.011221050925264,0.044302113207790546,0.1501110250616877,1.7504001865375969,0.0
12698,TRIP4,5,-0.6617823283143778,0.5081107331278433,0.6110857434786088,0.8,-0.6617823283143781,0.5081107331278432,0.7141728020488631,-0.44651324158814626,1.0
12699,VDAC1,5,-0.32573918948078295,0.7446216910207464,0.8114944844466285,0.8,-0.32573918948078284,0.7446216910207464,0.8693529261744305,-0.9934813165960555,1.0
12700,RASL11B,5,-0.09135620968935347,0.9272095557953717,0.9508781020771371,0.6,0.046282773448614416,0.9630848693913147,0.9841364921602946,-1.3749377389929667,1.0
12701,PCDH8,5,-1.692705516104535,0.09051153478746292,0.15201896740761908,0.8,-1.6927055161045346,0.09051153478746297,0.24530459357634252,1.2323458393026878,0.0
12702,PLEKHH3,5,0.4013081525032136,0.6881932620811121,0.7654710620231548,0.6,0.4013081525032135,0.6881932620811122,0.8338317014835348,0.8691632054720274,1.0
12703,EVI2A,5,1.4763452094149905,0.139851243328998,0.21761942085001176,0.8,1.4536979876465215,0.14603005635730423,0.33488095642761956,-0.8825469276308856,0.0
12704,S100A5,3,-0.05347941898494236,0.9573499284500225,0.9713759587877627,0.6666666666666667,0.15097727560033244,0.8799936418427717,0.9456375225463584,-1.3514278429616047,1.0
12705,RALYL,5,-1.4122605628292482,0.15787325389592255,0.2407384194171308,0.8,-1.2961812001792312,0.19491306489859184,0.4017184721954293,0.7784250760859709,0.0
12706,SLC32A1,2,1.3924731352407405,0.1637791712687484,0.24767618540226707,0.5,0.5781913059307683,0.5631349678488997,0.7534564697950843,-0.5700866744264942,0.0
12707,ASCL3,2,1.4244182495655107,0.15432543448140737,0.23603278495307722,0.5,0.25608474163690326,0.7978854036511993,0.8984692292832608,-0.6145280354895427,0.0
12708,SIAH1B,3,-0.7956187489707859,0.4262536656408715,0.5344557740843652,1.0,-0.795618748970786,0.4262536656408715,0.6464495761121225,,
12709,KXD1,5,1.4803512605186258,0.13877952992261802,0.21623635312804043,0.6,0.9257262349367015,0.35458827031633056,0.5811610110185071,-0.8901821355952941,0.0
12710,MYBL1,5,-0.2855288997916641,0.7752389666636305,0.8350201975802962,0.6,-0.2855288997916641,0.7752389666636305,0.8858083286251196,1.9847070387491321,0.0
12711,ANXA4,5,-0.13013827189770577,0.8964570309807542,0.9273228058632381,0.6,-0.13013827189770583,0.8964570309807542,0.9538594021292514,-1.307751349317103,1.0
12712,DHH,5,1.1959679866851185,0.2317090521106342,0.32760299227259054,0.8,1.1640239338796359,0.24441431258837842,0.4618730108417445,-0.4287304320614063,0.0
12713,LRRC56,3,0.04350853488204739,0.9652961611181401,0.9763860950151219,0.6666666666666666,0.5545010783097177,0.5792359679036574,0.7644935603812564,1.3639909109718047,1.0
12714,BPIFA2,2,0.2893313659600571,0.7723278116860625,0.832805183394769,1.0,0.28933136596005715,0.7723278116860623,0.884610598553356,0.956537602549167,1.0
12715,SARS1,3,0.6172958030195991,0.5370396346200316,0.6376214068022927,0.6666666666666666,-0.07909655739374528,0.9369558217378628,0.9728478090291443,0.5050855156437024,1.0
12716,RIC3,5,0.3270663389663692,0.7436177105217019,0.8106672162652446,0.8,0.3270663389663693,0.7436177105217019,0.8688140733367459,0.9834838220522133,1.0
12717,GBA2,5,-1.8851101311611986,0.05941497051352624,0.10678251154664775,0.8,-0.3439524488526974,0.7308820469783391,0.8614654733023904,1.5532586698971635,0.0
12718,WDR78,3,-0.7928405890199257,0.4278707050716566,0.5360772016006403,0.6666666666666667,-0.7928405890199257,0.4278707050716566,0.6476943987359328,,
12719,KISS1R,5,-0.2203431579936527,0.8256039107714964,0.8730766631158835,0.6,0.1508113660955492,0.8801245199729217,0.9456944481328029,1.8732945153007832,0.0
12720,INTS11,5,-1.2659687670948299,0.20552426444734884,0.2977993167898826,0.6,-1.1590098622646436,0.24645216506016387,0.46443186996342534,0.5494078545272163,0.0
12721,SPPL3,5,-0.008924907567720559,0.9928790485805964,0.9951034824163507,0.6,-0.04433776499716864,0.9646351691455768,0.9848238338607044,1.5261470587330064,0.0
12722,CD8B,2,0.4753904454481494,0.634508703341153,0.7209712403173449,0.5,0.2509360614380346,0.8018635432070433,0.901048565319958,0.683845358643415,1.0
12723,ZFP108,2,-1.3374754080748072,0.18106750429516938,0.2686473046874905,1.0,-1.3374754080748075,0.18106750429516927,0.3839745499959343,0.07368330934200214,0.0
12724,DRD1,3,-1.2880052656016638,0.19774413022855863,0.2886263648853319,0.6666666666666667,-1.288005265601664,0.19774413022855852,0.4049815446106287,0.5034265049588462,0.0
12725,TNXB,3,0.7905370634215194,0.42921418577261305,0.5373756262080498,0.6666666666666666,0.7021498757652078,0.48258570090366815,0.6934705133863215,,
12726,CMPK1,5,0.8188583815947489,0.4128672172496046,0.5215032188580171,0.6,0.8188583815947489,0.4128672172496046,0.6345197938640162,0.17661486073416166,1.0
