symbol,K,meta_Z,meta_p,consistency,n_up,n_dn,lfc_GSE267799_SMIR_DRG,lfc_GSE212311_CCI_DRG,lfc_GSE278227_CCI_DRG,lfc_GSE241361_S1R_DRG,lfc_GSE265957_Xtail_DRG_Day4,lfc_GSE265957_Xtail_DRG_Day63,meta_FDR,incision_lfc,concordant_incision
NME2,4,4.2676870804686615,1.975101156116927e-05,0.5,2,2,-0.2376451655266001,0.1320219192552452,0.4370774270557636,-1.1403997905059349,,,0.00014692977229684213,-0.2376451655266001,False
PGAM5,6,4.266799168760132,1.9829751842631653e-05,0.6666666666666666,4,2,-0.059179330486275106,0.145416610214383,0.22689497029837913,0.2976917599158897,-0.0968344612527614,0.222891506293122,0.00014744925988285676,-0.059179330486275106,False
MYCL,4,4.266530889646948,1.9853601662100947e-05,1.0,4,0,0.18915147972954638,0.2957558445056192,0.27034341892851255,0.19968315222495003,,,0.0001475603119493017,0.18915147972954638,True
C1RL,4,4.265664666378332,1.9930794912996356e-05,1.0,4,0,0.07704892790541162,0.1470653930793675,0.5647107032518106,0.27102300372211785,,,0.00014806755718129068,0.07704892790541162,True
LRRC25,6,4.264954202338345,1.99943209806894e-05,0.8333333333333334,5,1,-0.05007215460593284,0.3376590347503402,1.14159494529822,0.3235965973668813,0.874790009332693,0.541706538431823,0.0001484728581751328,-0.05007215460593284,False
CLEC10A,6,4.2647173088560635,2.0015545616078394e-05,1.0,6,0,0.02222531900164304,0.6778290289493851,0.9736437216776266,0.6509676864299769,0.109572498236958,0.0767417606621573,0.00014856381660866797,0.02222531900164304,True
FER1L6,4,4.26320575358747,2.0151480499278896e-05,0.75,3,1,0.19906350681094026,-0.055089483574494835,0.3237433156438564,1.1499031658047913,,,0.0001495057396790965,0.19906350681094026,True
SLC16A10,6,4.2629623715830025,2.017344996022581e-05,0.8333333333333334,5,1,0.14869661405108658,0.2590722391102312,0.5978987406471634,0.07485080893943552,0.299521655867709,-0.168775277155665,0.00014960167730361003,0.14869661405108658,True
MTAP,6,-4.2623062650692605,2.0232788660565347e-05,0.8333333333333334,1,5,0.13534856398417716,-0.17219648948459,-0.5038138745999321,-0.0020388102504309558,-0.3650814999056,-0.12801254040679,0.00014997452660531912,0.13534856398417716,False
EPS15,6,-4.261672410148676,2.029027272407882e-05,0.8333333333333334,1,5,0.2140503648145975,-0.0684357993910285,-0.2996042538107231,-0.015064231751626522,-0.25155131056672,-0.124788916419747,0.0001503333008634524,0.2140503648145975,False
