symbol,K,meta_Z,meta_p,consistency,n_up,n_dn,lfc_GSE267799_SMIR_DRG,lfc_GSE212311_CCI_DRG,lfc_GSE278227_CCI_DRG,lfc_GSE241361_S1R_DRG,lfc_GSE265957_Xtail_DRG_Day4,lfc_GSE265957_Xtail_DRG_Day63,meta_FDR,incision_lfc,concordant_incision
CSK,6,7.819981088828303,5.283127320249577e-15,1.0,6,0,0.3461890097102085,0.2872556227445857,0.7018064793530163,0.34829789701939173,0.264549829663309,0.143788560899185,1.5615414893709106e-12,0.3461890097102085,True
DLGAP4,6,7.811452938546918,5.653245880562512e-15,0.8333333333333334,5,1,0.26540556321851483,0.27233362633234703,0.5898582126342671,0.5378334204103261,-0.0788179402564083,0.233811838609852,1.641623259913521e-12,0.26540556321851483,True
CSF1,6,7.807980887991196,5.81113948249467e-15,1.0,6,0,0.15426663483981518,1.1645953562934315,2.274336961557906,3.033001067735129,2.01291446561967,0.457018041064834,1.6583789778319272e-12,0.15426663483981518,True
ESYT1,6,7.792452784134152,6.572073297980617e-15,0.8333333333333334,5,1,0.4369382322305002,0.3872866428067212,0.5925452620797866,-1.2890989171741207,0.746333137989352,0.242157987262364,1.8437450377656805e-12,0.4369382322305002,True
SEMA4F,6,7.755138483842889,8.82471234989748e-15,1.0,6,0,0.6813756659485914,0.4918120080406019,1.0021240768636144,1.337043380855107,0.914085558875768,0.388140593292487,2.4309620586138307e-12,0.6813756659485914,True
GADD45G,6,7.75322229213636,8.958958770870207e-15,0.8333333333333334,5,1,-0.10192404852044445,0.8605174553587869,1.919122245138222,1.7715630468546197,1.37966878153842,0.316418511686339,2.4309620586138307e-12,-0.10192404852044445,False
TSLP,4,7.750069089345706,9.18425649792725e-15,1.0,4,0,0.22196811925069682,1.5074282796968292,3.197706720847881,0.4755890887015455,,,2.43627178636261e-12,0.22196811925069682,True
LNP1,4,7.748849214448371,9.272904938427045e-15,1.0,4,0,0.15938929768587434,0.4515048650450454,1.615237129037877,0.09362552956884641,,,2.43627178636261e-12,0.15938929768587434,True
TPH2,4,7.745857639396011,9.493883239681099e-15,1.0,4,0,0.38024001485006265,0.8931015839466165,2.27980309640434,0.3029302881732592,,,2.4553555528625244e-12,0.38024001485006265,True
JPT1,6,7.73489109145167,1.0349165998042789e-14,0.8333333333333334,5,1,-0.04763609071968666,0.4602582919040019,0.7185162400667915,1.535543054531109,1.13359940792121,0.418096899536082,2.6353753169169883e-12,-0.04763609071968666,False
SRXN1,5,7.720062771306276,1.1627243027452927e-14,1.0,5,0,0.34626922437329233,,0.9738578932397193,1.7149034797087737,1.06947852345003,0.0682333432904775,2.915971615006073e-12,0.34626922437329233,True
LCE1F,3,7.708512930505901,1.2729222503756369e-14,1.0,3,0,,1.633511686293846,3.5427258790179605,0.17052693918350842,,,3.1446879236145585e-12,,False
TNFAIP1,6,7.693225641396783,1.434711641814237e-14,1.0,6,0,0.13555498626237483,0.14722163148614165,0.31011078116704116,0.5204482046774226,0.119980151201682,0.103888317811928,3.4922569257807722e-12,0.13555498626237483,True
GFRA3,6,7.6829685857653,1.5544371706291864e-14,1.0,6,0,0.30599313686449925,0.3885723517641009,0.7610467309309614,1.4627017874872603,0.619273765097335,0.450158835882918,3.728846963515115e-12,0.30599313686449925,True
ANKRD13B,6,7.662269712508606,1.8267549645213828e-14,1.0,6,0,0.41859808180893054,0.3296748956142772,0.34618384870128427,0.6709477752230866,0.615296921098778,0.309773480472627,4.2298212563709844e-12,0.41859808180893054,True
