chembl_id,pref_name,max_phase,first_approval,smiles,inchi_key,atc,drh_phase,drh_moa,drh_indication,pain_prior,mw,logp,tpsa,hbd,hba,rotb,charge,formula,n_torsions,pass,reason
CHEMBL1274,NILUTAMIDE,4.0,1996.0,CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O,XWXYUMMDTVBTOU-UHFFFAOYSA-N,L02BB02,Launched,androgen receptor antagonist,prostate cancer,False,317.2,2.45,92.6,1.0,4.0,2.0,0.0,C12H10F3N3O4,6.0,True,
CHEMBL1275,PERGOLIDE MESYLATE,4.0,1988.0,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21.CS(=O)(=O)O,UWCVGPLTGZWHGS-ZORIOUSZSA-N,,,,,False,314.5,4.27,19.0,1.0,2.0,4.0,0.0,C19H26N2S,8.0,True,
CHEMBL1278,NARATRIPTAN,4.0,1998.0,CNS(=O)(=O)CCc1ccc2[nH]cc(C3CCN(C)CC3)c2c1,AMKVXSZCKVJAGH-UHFFFAOYSA-N,N02CC02,Launched,serotonin receptor agonist,migraine headache,False,335.5,2.07,65.2,2.0,3.0,5.0,0.0,C17H25N3O2S,10.0,True,
CHEMBL1279,FROVATRIPTAN,4.0,2001.0,CN[C@@H]1CCc2[nH]c3ccc(C(N)=O)cc3c2C1,XPSQPHWEGNHMSK-SECBINFHSA-N,N02CC07,Launched,serotonin receptor agonist,migraine headache,False,243.3,1.34,70.9,3.0,2.0,2.0,0.0,C14H17N3O,4.0,True,
CHEMBL1280,VERAPAMIL HYDROCHLORIDE,4.0,1981.0,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC.Cl,DOQPXTMNIUCOSY-UHFFFAOYSA-N,,,,,False,454.6,5.09,64.0,0.0,6.0,13.0,0.0,C27H38N2O4,26.0,True,
CHEMBL149972,PHENOBARBITAL SODIUM,4.0,2022.0,CCC1(c2ccccc2)C(=O)N=C([O-])NC1=O.[Na+],WRLGYAWRGXKSKG-UHFFFAOYSA-M,,,,,False,231.2,-0.29,81.6,1.0,3.0,2.0,-1.0,C12H11N2O3-,4.0,True,
CHEMBL1282,IMIQUIMOD,4.0,1997.0,CC(C)Cn1cnc2c(N)nc3ccccc3c21,DOUYETYNHWVLEO-UHFFFAOYSA-N,D06BB10,Launched,interferon inducer|toll-like receptor agonist,actinic keratosis (AK)|genital warts|basal cell carcinoma (BCC),False,240.3,2.82,56.7,1.0,3.0,2.0,0.0,C14H16N4,6.0,True,
CHEMBL348000,CINCHOPHEN,4.0,,O=C(O)c1cc(-c2ccccc2)nc2ccccc12,YTRMTPPVNRALON-UHFFFAOYSA-N,M04AC02,Launched,analgesic agent,gout,False,249.3,3.6,50.2,1.0,2.0,2.0,0.0,C16H11NO2,6.0,True,
CHEMBL1286,LEVETIRACETAM,4.0,1999.0,CC[C@@H](C(N)=O)N1CCCC1=O,HPHUVLMMVZITSG-LURJTMIESA-N,N03AX14,Launched,calcium channel blocker,seizures,True,170.2,-0.13,63.4,1.0,2.0,3.0,0.0,C8H14N2O2,6.0,True,
CHEMBL1289,HALOPROGIN,4.0,1982.0,Clc1cc(Cl)c(OCC#CI)cc1Cl,CTETYYAZBPJBHE-UHFFFAOYSA-N,D01AE11,Launched,other antifungal,tinea pedis,False,361.4,4.42,9.2,0.0,1.0,2.0,0.0,C9H4Cl3IO,6.0,True,
CHEMBL1290,PENBUTOLOL,4.0,1987.0,CC(C)(C)NC[C@H](O)COc1ccccc1C1CCCC1,KQXKVJAGOJTNJS-HNNXBMFYSA-N,C07AA23,Launched,adrenergic receptor antagonist,hypertension,False,291.4,3.47,41.5,2.0,3.0,6.0,0.0,C18H29NO2,16.0,True,
CHEMBL345524,ANTRAFENINE,4.0,,O=C(OCCN1CCN(c2cccc(C(F)(F)F)c2)CC1)c1ccccc1Nc1ccnc2cc(C(F)(F)F)ccc12,NWGGKKGAFZIVBJ-UHFFFAOYSA-N,,,,,False,588.6,7.0,57.7,1.0,6.0,7.0,0.0,C30H26F6N4O2,20.0,True,
CHEMBL152684,BECLOBRATE,4.0,,CCOC(=O)C(C)(CC)Oc1ccc(Cc2ccc(Cl)cc2)cc1,YWQGBCXVCXMSLJ-UHFFFAOYSA-N,,,,,False,346.9,5.04,35.5,0.0,3.0,7.0,0.0,C20H23ClO3,16.0,True,
CHEMBL1291,METIPRANOLOL,4.0,1989.0,CC(=O)Oc1c(C)cc(OCC(O)CNC(C)C)c(C)c1C,BQIPXWYNLPYNHW-UHFFFAOYSA-N,S01ED04;S01ED54,Withdrawn,adrenergic receptor antagonist,,False,309.4,2.27,67.8,2.0,5.0,7.0,0.0,C17H27NO4,18.0,True,
CHEMBL1292,CLOFAZIMINE,4.0,1986.0,CC(C)/N=c1\cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,WDQPAMHFFCXSNU-BGABXYSRSA-N,J04BA01,Launched,GK0582 inhibitor,leprosy,False,473.4,7.49,42.2,1.0,3.0,4.0,0.0,C27H22Cl2N4,8.0,True,
CHEMBL1293,BETA CAROTENE,4.0,1982.0,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)CCCC2(C)C)C(C)(C)CCC1,OENHQHLEOONYIE-JLTXGRSLSA-N,D02BB01;A11CA02,,,,False,536.9,12.61,0.0,0.0,0.0,10.0,0.0,C40H56,20.0,True,
CHEMBL1294,QUINIDINE,4.0,1950.0,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,LOUPRKONTZGTKE-LHHVKLHASA-N,C01BA01;C01BA51;C01BA71,Launched,sodium channel blocker,malaria|atrial fibrillation (AF)|ventricular arrhythmias,False,324.4,3.17,45.6,1.0,4.0,4.0,0.0,C20H24N2O2,10.0,True,
CHEMBL1295,BUTOCONAZOLE,4.0,1985.0,Clc1ccc(CCC(Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1,SWLMUYACZKCSHZ-UHFFFAOYSA-N,G01AF15,Launched,bacterial cell wall synthesis inhibitor,vulvovaginal candidiasis,False,411.8,6.64,17.8,0.0,2.0,7.0,0.0,C19H17Cl3N2S,14.0,True,
CHEMBL1296,CEFOTIAM,4.0,1988.0,CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3csc(N)n3)[C@H]2SC1,QYQDKDWGWDOFFU-IUODEOHRSA-N,J01DC07,Launched,bacterial cell wall synthesis inhibitor,bacterial septicemia|bone and joint infections|respiratory tract infections|skin infections|urinary tract infections,False,525.6,-0.65,172.5,3.0,12.0,10.0,0.0,C18H23N9O4S3,24.0,True,
CHEMBL1297,FENOPROFEN,4.0,1976.0,CC(C(=O)O)c1cccc(Oc2ccccc2)c1,RDJGLLICXDHJDY-UHFFFAOYSA-N,M01AE04,Launched,prostaglandin inhibitor,rheumatoid arthritis|osteoarthritis,False,242.3,3.67,46.5,1.0,2.0,4.0,0.0,C15H14O3,10.0,True,
CHEMBL345714,ACIPIMOX,4.0,,Cc1cnc(C(=O)O)c[n+]1[O-],DJQOOSBJCLSSEY-UHFFFAOYSA-N,C10AD06,Launched,cholesterol inhibitor,hyperlipidemia,False,154.1,-0.28,77.1,1.0,3.0,1.0,0.0,C6H6N2O3,4.0,True,
CHEMBL157101,KETOCONAZOLE,4.0,1981.0,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,XMAYWYJOQHXEEK-UHFFFAOYSA-N,D01AC08;G01AF11;H02CA03;J02AB02,Launched,sterol demethylase inhibitor,seborrheic dermatitis,False,531.4,4.21,69.1,0.0,6.0,7.0,0.0,C26H28Cl2N4O4,14.0,True,
CHEMBL170,QUININE,4.0,2005.0,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,LOUPRKONTZGTKE-WZBLMQSHSA-N,M09AA72;P01BC01,Launched,hemozoin biocrystallization inhibitor,malaria,False,324.4,3.17,45.6,1.0,4.0,4.0,0.0,C20H24N2O2,10.0,True,
CHEMBL346235,DIAMTHAZOLE DIHYDROCHLORIDE,4.0,,CCN(CC)CCOc1ccc2nc(N(C)C)sc2c1.Cl.Cl,FZNXAQMQVKBXDR-UHFFFAOYSA-N,,,,,False,293.4,3.08,28.6,0.0,5.0,7.0,0.0,C15H23N3OS,14.0,True,
CHEMBL1301,HYDROXYSTILBAMIDINE,4.0,1953.0,N=C(N)c1ccc(/C=C/c2ccc(C(=N)N)cc2O)cc1,TUESWZZJYCLFNL-DAFODLJHSA-N,,Launched,,,False,280.3,2.13,120.0,5.0,3.0,4.0,0.0,C16H16N4O,10.0,True,
CHEMBL1303,ROTIGOTINE,4.0,2006.0,CCCN(CCc1cccs1)[C@H]1CCc2c(O)cccc2C1,KFQYTPMOWPVWEJ-INIZCTEOSA-N,N04BC09,Launched,dopamine receptor agonist,Parkinson's Disease|restless leg syndrome,False,315.5,4.27,23.5,1.0,3.0,6.0,0.0,C19H25NOS,14.0,True,
CHEMBL349803,PIRETANIDE,4.0,,NS(=O)(=O)c1cc(C(=O)O)cc(N2CCCC2)c1Oc1ccccc1,UJEWTUDSLQGTOA-UHFFFAOYSA-N,C03CA03,Launched,glucocorticoid receptor agonist,hypertension|edema,False,362.4,2.42,109.9,2.0,5.0,5.0,0.0,C17H18N2O5S,14.0,True,
CHEMBL1305,ANTAZOLINE,4.0,1994.0,c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1,REYFJDPCWQRWAA-UHFFFAOYSA-N,R01AC04;R06AX05,Launched,antihistamine,conjunctivitis|nasal congestion,False,265.4,2.69,27.6,1.0,3.0,5.0,0.0,C17H19N3,10.0,True,
CHEMBL1308,FOMEPIZOLE,4.0,1997.0,Cc1cn[nH]c1,RIKMMFOAQPJVMX-UHFFFAOYSA-N,V03AB34,Launched,alcohol dehydrogenase inhibitor,poison antidote,False,,,,,,,,,,False,F2_mw_82
CHEMBL1311,ISOSORBIDE MONONITRATE,4.0,1991.0,O=[N+]([O-])O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O,YWXYYJSYQOXTPL-SLPGGIOYSA-N,C01DA14,,,,False,191.1,-1.28,91.1,1.0,6.0,2.0,0.0,C6H9NO6,6.0,True,
CHEMBL1314,TIOPRONIN,4.0,1988.0,CC(S)C(=O)NCC(=O)O,YTGJWQPHMWSCST-UHFFFAOYSA-N,G04BX16,Launched,chelating agent|reducing agent,kidney stones,False,163.2,-0.49,66.4,3.0,3.0,3.0,0.0,C5H9NO3S,10.0,True,
CHEMBL1316,CARPROFEN,4.0,1987.0,CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,PUXBGTOOZJQSKH-UHFFFAOYSA-N,,Launched,cyclooxygenase inhibitor,osteoarthritis,False,273.7,4.16,53.1,2.0,1.0,2.0,0.0,C15H12ClNO2,6.0,True,
CHEMBL159226,MOXISYLYTE,4.0,,CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,VRYMTAVOXVTQEF-UHFFFAOYSA-N,G04BE06;C04AX10,Withdrawn,adrenergic receptor antagonist,,False,279.4,2.98,38.8,0.0,4.0,6.0,0.0,C16H25NO3,14.0,True,
