symbol,K,Z_FE,p_FE,Q,tau2,I2,Z_RE,p_RE,FDR_RE,consistency,meta_FDR,FDR_FE,nerve_injury_consistency,K_nerve_injury,incision_lfc,incision_measured,incision_agreement
FBXO25,6,1.347528339579883,0.17781013251058564,2.9396784472892716,0.0,0.0,1.3475283395798827,0.17781013251058575,0.44552124028386547,0.6666666666666666,0.2845512243367701,0.2845512243367701,0.6,5,0.0935851816802415,True,1.0
TEX11,4,-1.3474643380088684,0.1778307315220221,4.797478976729173,0.17253525700774044,37.46715692654601,-0.9186065160814486,0.3583014224861033,0.6269801400771732,0.75,0.2845517034126546,0.28455170341265446,1.0,3,0.0146850861379189,True,0.0
KMT2E,6,1.3474205846573557,0.17784481463290902,10.535727364665327,0.42957593022720303,52.5424317947997,0.2411890764623691,0.8094085767546745,0.9152432547098902,0.5,0.2845517034126546,0.28455170341265446,0.6,5,0.117850260980493,True,1.0
UBD,4,1.3473004435056062,0.17788348933859488,3.224389137171721,0.021538520312552857,6.959120863697748,1.2337638476793624,0.217290914500606,0.4910640258201571,0.5,0.2845707370692314,0.2845707370692314,0.6666666666666666,3,0.1562338675590719,True,1.0
TRAPPC14,3,1.3472768169099927,0.17789109572591455,2.1905844021262957,0.02233632201740204,8.700162474511574,1.3166074500618272,0.18797024027277454,0.45740714745589006,0.6666666666666666,0.2845707370692314,0.2845707370692314,,2,0.4730805560479032,True,1.0
CAMK2B,6,-1.347169150904863,0.17792576097277857,9.023744590625528,0.31224511462535465,44.59063031112011,-0.6805192464262186,0.49617573948726246,0.7341473179731337,0.6666666666666666,0.2845986853132426,0.2845986853132423,0.8,5,0.1519661377851697,True,0.0
PIM3,6,-1.3468376703366947,0.17803251941649068,33.9038427083042,2.242956399517553,85.25240916488994,0.4609368718732252,0.6448438970435942,0.8277555452077395,0.6666666666666666,0.2847419326873856,0.2847419326873856,0.6,5,0.258099952576571,True,0.0
RAB3B,6,1.3467333739081326,0.17806611955354223,22.816127201390756,1.3825426924807214,78.08567617165447,-0.017429378657067517,0.9860940719333514,0.9943357806516924,0.6666666666666666,0.2847681556377146,0.28476815563770347,0.6,5,-0.0570348844594765,True,0.0
ANPEP,6,1.3465634612576953,0.17812086872043909,2.7807839266543257,0.0,0.0,1.346563461257695,0.1781208687204393,0.4459023135110726,0.8333333333333334,0.2848281923544302,0.28482819235443024,0.8,5,0.0528525537445654,True,1.0
FLCN,6,-1.3463851243263079,0.17817834582988135,16.716295213140672,0.9091918881568172,70.08906617017925,-0.07673330868853094,0.9388357061463537,0.9765636816539229,0.6666666666666666,0.2848925792287711,0.284892579228767,0.6,5,0.0735880541304352,True,0.0
H2AX,3,1.3458613302863673,0.17834724186327522,2.2117837360809154,0.03863351707336171,9.575246106844848,1.158527834938488,0.24664869933330902,0.5248816239862344,0.6666666666666666,0.2851350861896002,0.28513508618960026,0.6666666666666666,3,,False,
BIRC5,6,1.345650156194745,0.17841536809006142,2.5568142799104585,0.0,0.0,1.3456501561947447,0.17841536809006164,0.44622713397200064,0.8333333333333334,0.2852164547640232,0.28521645476402324,1.0,5,-0.1912599443565925,True,0.0
HEPH,6,1.3454342124828702,0.17848505305229156,6.550783573683481,0.1203417820932413,23.673253073318698,1.151302860653047,0.2496076607026666,0.5272947892507147,0.5,0.2853002991908768,0.28530029919087685,0.6,5,-0.0756415918539752,True,0.0
RTN4R,6,-1.3448063693109789,0.17868777286063586,38.55633611309334,2.6039928181452705,87.03196282620316,0.13632484902861222,0.8915644805755366,0.9548371496720189,0.6666666666666666,0.2855967570866394,0.2855967570866401,0.6,5,0.4082085204990799,True,0.0
1110038F14RIK,3,1.3444217179091977,0.17881205479679352,0.19784536206088027,0.0,0.0,1.3444217179091982,0.17881205479679352,0.44661191051705545,1.0,0.2857678025486653,0.2857678025486653,1.0,3,,False,
CHMP2B,6,1.3438285457900805,0.1790038363695432,6.778124737217084,0.13798359957638723,26.233284369256594,0.7672603043246466,0.44292676477977744,0.6952417079786511,0.6666666666666666,0.2860466788558292,0.2860466788558292,0.6,5,0.0201438874573502,True,1.0
