miRNA,log2FC,t,p,FDR
hsa-miR-483-5p,0.5184801383117517,2.121939826663879,0.03866367000357272,0.33865901992508896
hsa-miR-6766-3p,0.11303951801957089,2.150009855363182,0.03898477206344868,0.33865901992508896
hsa-miR-584-3p,0.30789524044156347,2.1042089187865227,0.04008040544162071,0.3412837103663962
hsa-miR-1307-3p,0.26165863241168275,2.0982257989988846,0.04025125575888693,0.3412837103663962
hsa-miR-331-3p,0.5358904962231876,2.098346262845252,0.040436552010095494,0.3412837103663962
hsa-miR-491-5p,0.4807560432766951,2.0995886095204987,0.040815706722427764,0.3412837103663962
hsa-miR-6820-3p,0.3826509131323794,2.091454722939025,0.04099504028425179,0.3412837103663962
hsa-miR-5583-3p,0.427861507957743,2.091708912247419,0.04165626423208027,0.3439223798995718
hsa-miR-32-5p,0.2905184179166689,2.0839760449404325,0.042403428909855316,0.34689631790437286
hsa-miR-941,0.2951154095574786,2.0619310721206188,0.04370440103225335,0.34689631790437286
hsa-miR-455-3p,0.18910402253972097,2.069349005807891,0.04381585150066117,0.34689631790437286
hsa-miR-92a-1-5p,0.3265782606779065,2.0599198836153496,0.04398551321543908,0.34689631790437286
hsa-miR-885-3p,0.7326959461829188,2.060517491709792,0.04421717918519511,0.34689631790437286
hsa-miR-6721-5p,0.37729014552978934,2.0556157378112028,0.044336411922116896,0.34689631790437286
hsa-miR-5690,-0.2806452772147974,-2.0894388655484653,0.04444717586762736,0.34689631790437286
hsa-miR-3150b-3p,0.3086480721231958,2.045574954399428,0.0454294094268054,0.3518137985843302
hsa-miR-4464,0.13025587218143922,2.075128135120071,0.04610589941933296,0.35324242539455003
hsa-miR-1294,-0.23166173037460336,-2.033919951342843,0.04655376399928774,0.35324242539455003
hsa-miR-139-5p,0.37543919919811364,2.030875787952071,0.046881009213314,0.35324242539455003
hsa-miR-6511b-5p,0.25766319492254636,2.04991255102136,0.04702827084832348,0.35324242539455003
hsa-miR-99b-5p,0.39349665411407475,2.0191287009144463,0.04847363652879421,0.36014652013568654
hsa-miR-219a-1-3p,0.2674541844582648,2.0217534130027395,0.04890137459916833,0.36014652013568654
hsa-miR-508-3p,0.2789639157194814,2.012004516512871,0.049028955694147516,0.36014652013568654
hsa-miR-590-3p,0.35133929448932033,2.0072262948796995,0.049562629317654594,0.3614092459002696
hsa-let-7c-5p,-0.24195685062318262,-1.9985504471489437,0.05048234176416975,0.3654482566840984
hsa-miR-4504,0.29042966780529167,1.9843088050746378,0.052040679157892566,0.3654967664931242
hsa-miR-6815-5p,0.23855899587667673,1.981123209063351,0.05236363397750722,0.3654967664931242
hsa-miR-7155-5p,0.18925923670925698,1.9803238028431465,0.05242207561197811,0.3654967664931242
hsa-miR-328-3p,0.3728243897681667,1.9804063620355972,0.05242690366236023,0.3654967664931242
hsa-miR-545-3p,0.43554183414582015,1.9803785667356009,0.052565516747581184,0.3654967664931242
hsa-miR-6761-5p,0.14954066701865737,1.999987752815499,0.05287237504465669,0.3654967664931242
hsa-miR-450a-5p,0.30933151117664054,1.9757387053277735,0.05305008122272573,0.3654967664931242
hsa-miR-11400,0.6420980850316246,1.9731814526985951,0.053851112484916294,0.36698185567206465
hsa-miR-326,0.3828416265815665,1.9674860810689674,0.054013472783035525,0.36698185567206465
hsa-miR-3922-3p,0.15793608255155211,1.971000219023223,0.054643196443433455,0.36698185567206465
hsa-miR-551b-3p,0.31997516149613037,1.9621295884027778,0.0547350315266643,0.36698185567206465
hsa-miR-361-3p,0.30788228481192537,1.9605907981220143,0.0554368892605436,0.36920968247522035
hsa-miR-16-5p,-0.10296198439796456,-1.9478125847139052,0.056565446164170106,0.37253460507420005
hsa-miR-6780b-3p,0.19893850488210488,1.9479469140102934,0.05678825062675902,0.37253460507420005
