chembl_id,affinity,n_modes,rmsd_lb,rmsd_ub,sec,rc,err,symbol,tag,exh,max_evals
CHEMBL1434,-8.279,2,0.0,0.0,23.05,0,,ACVR1,t1_cns,1,0
CHEMBL1437,-5.704,2,0.0,0.0,8.07,0,,ACVR1,t1_cns,1,0
CHEMBL14370,-8.264,2,0.0,0.0,15.22,0,,ACVR1,t1_cns,1,0
CHEMBL14376,-8.998,2,0.0,0.0,31.56,0,,ACVR1,t1_cns,1,0
CHEMBL1442422,-8.485,3,0.0,0.0,9.47,0,,ACVR1,t1_cns,1,0
CHEMBL1454,-6.531,2,0.0,0.0,5.04,0,,ACVR1,t1_cns,1,0
CHEMBL146095,-8.464,2,0.0,0.0,27.55,0,,ACVR1,t1_cns,1,0
CHEMBL1480,-6.739,3,0.0,0.0,16.65,0,,ACVR1,t1_cns,1,0
CHEMBL1480987,-8.119,2,0.0,0.0,10.88,0,,ACVR1,t1_cns,1,0
CHEMBL1482,-4.435,2,0.0,0.0,5.98,0,,ACVR1,t1_cns,1,0
CHEMBL1484,-8.012,3,0.0,0.0,51.79,0,,ACVR1,t1_cns,1,0
CHEMBL1490,-7.644,2,0.0,0.0,15.25,0,,ACVR1,t1_cns,1,0
CHEMBL1491,-6.673,1,0.0,0.0,31.05,0,,ACVR1,t1_cns,1,0
CHEMBL1492,-8.829,1,0.0,0.0,10.12,0,,ACVR1,t1_cns,1,0
CHEMBL1492500,-7.69,2,0.0,0.0,8.89,0,,ACVR1,t1_cns,1,0
CHEMBL1493,-9.489,2,0.0,0.0,21.71,0,,ACVR1,t1_cns,1,0
CHEMBL15023,-9.26,1,0.0,0.0,27.61,0,,ACVR1,t1_cns,1,0
CHEMBL1505,-7.518,3,0.0,0.0,15.13,0,,ACVR1,t1_cns,1,0
CHEMBL1508,-7.642,1,0.0,0.0,13.98,0,,ACVR1,t1_cns,1,0
CHEMBL1510,-9.305,2,0.0,0.0,21.14,0,,ACVR1,t1_cns,1,0
CHEMBL1514,-4.705,2,0.0,0.0,21.85,0,,ACVR1,t1_cns,1,0
CHEMBL1515611,-5.634,2,0.0,0.0,4.96,0,,ACVR1,t1_cns,1,0
CHEMBL1521,-8.487,3,0.0,0.0,12.7,0,,ACVR1,t1_cns,1,0
CHEMBL1522,-8.481,3,0.0,0.0,14.22,0,,ACVR1,t1_cns,1,0
CHEMBL154,-7.397,3,0.0,0.0,7.56,0,,ACVR1,t1_cns,1,0
CHEMBL1568698,-9.444,3,0.0,0.0,7.67,0,,ACVR1,t1_cns,1,0
CHEMBL1580,-5.675,3,0.0,0.0,27.45,0,,ACVR1,t1_cns,1,0
CHEMBL1584,-8.809,3,0.0,0.0,28.36,0,,ACVR1,t1_cns,1,0
CHEMBL159226,-6.61,3,0.0,0.0,12.43,0,,ACVR1,t1_cns,1,0
CHEMBL1595,-7.958,3,0.0,0.0,7.31,0,,ACVR1,t1_cns,1,0
CHEMBL16,-8.382,1,0.0,0.0,7.42,0,,ACVR1,t1_cns,1,0
CHEMBL16073,-5.859,1,0.0,0.0,5.45,0,,ACVR1,t1_cns,1,0
CHEMBL1611,-8.194,1,0.0,0.0,7.49,0,,ACVR1,t1_cns,1,0
CHEMBL1615438,-8.795,2,0.0,0.0,22.82,0,,ACVR1,t1_cns,1,0
CHEMBL1618018,-7.318,2,0.0,0.0,11.05,0,,ACVR1,t1_cns,1,0
CHEMBL1619,-6.917,3,0.0,0.0,11.5,0,,ACVR1,t1_cns,1,0
CHEMBL162036,-7.649,2,0.0,0.0,15.03,0,,ACVR1,t1_cns,1,0
CHEMBL1621,-10.42,3,0.0,0.0,24.58,0,,ACVR1,t1_cns,1,0
CHEMBL1621597,-7.892,2,0.0,0.0,16.71,0,,ACVR1,t1_cns,1,0
CHEMBL1623992,-9.228,1,0.0,0.0,15.48,0,,ACVR1,t1_cns,1,0
CHEMBL1626,-8.686,1,0.0,0.0,15.66,0,,ACVR1,t1_cns,1,0
CHEMBL1626223,-6.205,2,0.0,0.0,5.47,0,,ACVR1,t1_cns,1,0
CHEMBL1628227,-8.712,2,0.0,0.0,8.83,0,,ACVR1,t1_cns,1,0
CHEMBL1628502,-7.131,2,0.0,0.0,20.99,0,,ACVR1,t1_cns,1,0
CHEMBL1643895,-8.87,3,0.0,0.0,8.84,0,,ACVR1,t1_cns,1,0
CHEMBL1648,-7.608,3,0.0,0.0,18.2,0,,ACVR1,t1_cns,1,0
CHEMBL1652,-7.243,2,0.0,0.0,62.13,0,,ACVR1,t1_cns,1,0
CHEMBL1685,-5.771,2,0.0,0.0,17.72,0,,ACVR1,t1_cns,1,0
CHEMBL168815,-5.482,2,0.0,0.0,3.87,0,,ACVR1,t1_cns,1,0
CHEMBL1697737,-7.453,2,0.0,0.0,25.42,0,,ACVR1,t1_cns,1,0
CHEMBL1697856,-6.203,2,0.0,0.0,9.83,0,,ACVR1,t1_cns,1,0
