finetype,n_cells,symbol,mean_lognorm,pct_expressing
Myelinated_Proprio,3668,RNF19B,0.18376457691192627,0.28053435114503816
Myelinated_Proprio,3668,SRRM4,0.10303422063589096,0.2039258451472192
Myelinated_Proprio,3668,ECEL1,0.07802412658929825,0.04498364231188658
Myelinated_Proprio,3668,FLRT3,0.14855477213859558,0.14776444929116686
Myelinated_Proprio,3668,PTPN23,0.09583830833435059,0.20419847328244276
Myelinated_Proprio,3668,MAPK14,0.13448727130889893,0.24372955288985823
Myelinated_Proprio,3668,VASH2,0.014544512145221233,0.04471101417666303
Myelinated_Proprio,3668,TNIK,0.2238423228263855,0.31025081788440567
Myelinated_Proprio,3668,WDR81,0.03294410556554794,0.09323882224645584
Myelinated_Proprio,3668,CCDC160,0.020214399322867393,0.06352235550708833
Myelinated_Proprio,3668,SLC2A1,0.0877470150589943,0.16112322791712105
Myelinated_Proprio,3668,ANKRD13B,0.11929306387901306,0.2208287895310796
Myelinated_Proprio,3668,NPY,0.06044568866491318,0.03026172300981461
Myelinated_Proprio,3668,AXL,0.0043398854322731495,0.010905125408942203
Myelinated_Proprio,3668,SERPINE1,0.0007116002961993217,0.003271537622682661
Myelinated_Proprio,3668,WBP1L,0.05957604944705963,0.1515812431842966
Myelinated_Proprio,3668,ITPKC,0.022962180897593498,0.05916030534351145
Myelinated_Proprio,3668,ACVR1,0.056265685707330704,0.12813522355507087
Myelinated_Proprio,3668,LNP1,5.249361856840551e-05,0.0005452562704471102
Myelinated_Proprio,3668,AGRN,0.06354831904172897,0.15458015267175573
Myelinated_Proprio,3668,VIP,0.0016404783818870783,0.004907306434023991
Myelinated_Proprio,3668,REG3B,0.0021356604993343353,0.0021810250817884407
Myelinated_Proprio,3668,TNS3,0.03193538263440132,0.06924754634678298
Myelinated_Proprio,3668,ANKRD1,0.000481390452478081,0.0021810250817884407
Myelinated_Proprio,3668,CTTN,0.2446887493133545,0.31952017448200654
Myelinated_Proprio,3668,RUBCN,0.11185520887374878,0.2268266085059978
Myelinated_Proprio,3668,MEGF11,0.0011375462636351585,0.003271537622682661
NonPeptidergic_Noci,4812,SPRR1A,0.09280890226364136,0.19326683291770574
NonPeptidergic_Noci,4812,ATF3,0.3131430745124817,0.5164172901080631
NonPeptidergic_Noci,4812,TFE3,0.1348581463098526,0.4985453034081463
NonPeptidergic_Noci,4812,CDHR5,6.329498864943162e-05,0.00020781379883624273
NonPeptidergic_Noci,4812,GALNS,0.00862841121852398,0.0457190357439734
NonPeptidergic_Noci,4812,CHL1,0.12527118623256683,0.3345802161263508
NonPeptidergic_Noci,4812,FLNC,0.03424574062228203,0.1411055694098088
NonPeptidergic_Noci,4812,RNF19B,0.26796406507492065,0.7094763092269327
NonPeptidergic_Noci,4812,SRRM4,0.09155501425266266,0.3559850374064838
NonPeptidergic_Noci,4812,ECEL1,0.0167947206646204,0.05320033250207814
NonPeptidergic_Noci,4812,FLRT3,0.11951302736997604,0.3397755610972569
NonPeptidergic_Noci,4812,PTPN23,0.1350664496421814,0.4981296758104738
NonPeptidergic_Noci,4812,MAPK14,0.2637168765068054,0.7013715710723192
NonPeptidergic_Noci,4812,VASH2,0.007041917648166418,0.02660016625103907
NonPeptidergic_Noci,4812,TNIK,0.2707330882549286,0.6756026600166251
NonPeptidergic_Noci,4812,WDR81,0.08038987964391708,0.3414380714879468
NonPeptidergic_Noci,4812,CCDC160,0.03089515119791031,0.15211970074812967
NonPeptidergic_Noci,4812,SLC2A1,0.11816198378801346,0.42726517040731504
NonPeptidergic_Noci,4812,ANKRD13B,0.31955161690711975,0.7375311720698254
NonPeptidergic_Noci,4812,NPY,0.006799011956900358,0.023275145469659187
NonPeptidergic_Noci,4812,AXL,0.007140304893255234,0.028678304239401497
NonPeptidergic_Noci,4812,SERPINE1,0.00045774810132570565,0.0024937655860349127
NonPeptidergic_Noci,4812,WBP1L,0.09513413906097412,0.392975893599335
NonPeptidergic_Noci,4812,ITPKC,0.0273734200745821,0.12780548628428928
NonPeptidergic_Noci,4812,ACVR1,0.09372550994157791,0.37281795511221943
NonPeptidergic_Noci,4812,LNP1,2.4369179300265387e-05,0.00020781379883624273
NonPeptidergic_Noci,4812,AGRN,0.03413009271025658,0.13445552784704903
NonPeptidergic_Noci,4812,VIP,0.0,0.0
NonPeptidergic_Noci,4812,REG3B,0.0025525607634335756,0.015378221113881962
NonPeptidergic_Noci,4812,TNS3,0.054182443767786026,0.2115544472152951
NonPeptidergic_Noci,4812,ANKRD1,0.0003682804817799479,0.0020781379883624274
NonPeptidergic_Noci,4812,CTTN,0.36039167642593384,0.7926018287614297
NonPeptidergic_Noci,4812,RUBCN,0.17183740437030792,0.57356608478803
NonPeptidergic_Noci,4812,MEGF11,0.0011514401994645596,0.003948462177888612
Peptidergic_Nociceptor,4612,SPRR1A,0.07644069939851761,0.17649609713790113
Peptidergic_Nociceptor,4612,ATF3,0.7913275361061096,0.6888551604509974
Peptidergic_Nociceptor,4612,TFE3,0.1460036188364029,0.43972246313963576
Peptidergic_Nociceptor,4612,CDHR5,0.0,0.0
Peptidergic_Nociceptor,4612,GALNS,0.008792947977781296,0.03924544666088465
Peptidergic_Nociceptor,4612,CHL1,0.4489651322364807,0.7491326973113617
Peptidergic_Nociceptor,4612,FLNC,0.0037760313134640455,0.012575888985255855
Peptidergic_Nociceptor,4612,RNF19B,0.3038610517978668,0.7007805724197745
Peptidergic_Nociceptor,4612,SRRM4,0.1551358550786972,0.444275802254987
Peptidergic_Nociceptor,4612,ECEL1,0.047112178057432175,0.12489158716392021
Peptidergic_Nociceptor,4612,FLRT3,0.18329720199108124,0.4017779705117086
Peptidergic_Nociceptor,4612,PTPN23,0.14589011669158936,0.45013009540329574
Peptidergic_Nociceptor,4612,MAPK14,0.31969940662384033,0.7114050303555941
Peptidergic_Nociceptor,4612,VASH2,0.036708470433950424,0.1370338248048569
Peptidergic_Nociceptor,4612,TNIK,0.1563764065504074,0.44232437120555074
Peptidergic_Nociceptor,4612,WDR81,0.07132409512996674,0.24588031222896792
Peptidergic_Nociceptor,4612,CCDC160,0.04369688406586647,0.1691240242844753
Peptidergic_Nociceptor,4612,SLC2A1,0.1168338879942894,0.35971379011274934
Peptidergic_Nociceptor,4612,ANKRD13B,0.20807212591171265,0.5503035559410234
Peptidergic_Nociceptor,4612,NPY,0.005974616389721632,0.026019080659150044
Peptidergic_Nociceptor,4612,AXL,0.00759197399020195,0.02753686036426713
Peptidergic_Nociceptor,4612,SERPINE1,0.0020213169045746326,0.005637467476149176
Peptidergic_Nociceptor,4612,WBP1L,0.09592076390981674,0.3347788378143972
Peptidergic_Nociceptor,4612,ITPKC,0.03528488054871559,0.1316131830008673
Peptidergic_Nociceptor,4612,ACVR1,0.10970989614725113,0.3545099739809193
Peptidergic_Nociceptor,4612,LNP1,0.0,0.0
Peptidergic_Nociceptor,4612,AGRN,0.11636737734079361,0.36405030355594103
Peptidergic_Nociceptor,4612,VIP,3.11655348923523e-05,0.0002168256721595837
Peptidergic_Nociceptor,4612,REG3B,0.00025383822503499687,0.0006504770164787511
Peptidergic_Nociceptor,4612,TNS3,0.03255279362201691,0.11556808326105811
Peptidergic_Nociceptor,4612,ANKRD1,0.0006021056324243546,0.0017346053772766695
Peptidergic_Nociceptor,4612,CTTN,0.4107123017311096,0.7870771899392888
Peptidergic_Nociceptor,4612,RUBCN,0.18713705241680145,0.5333911535125759
Peptidergic_Nociceptor,4612,MEGF11,0.0011425693519413471,0.003686036426712923
SatelliteGlia,847,SPRR1A,0.12845875322818756,0.09681227863046045
SatelliteGlia,847,ATF3,0.4870073199272156,0.2857142857142857
SatelliteGlia,847,TFE3,0.10735287517309189,0.09563164108618655
SatelliteGlia,847,CDHR5,0.0014403837267309427,0.0011806375442739079
SatelliteGlia,847,GALNS,0.010682285763323307,0.009445100354191263
SatelliteGlia,847,CHL1,0.7434422373771667,0.4970484061393152
SatelliteGlia,847,FLNC,0.006162588484585285,0.004722550177095631
SatelliteGlia,847,RNF19B,0.05157964304089546,0.048406139315230225
SatelliteGlia,847,SRRM4,0.004839055705815554,0.0035419126328217238
SatelliteGlia,847,ECEL1,0.008543161675333977,0.0070838252656434475
SatelliteGlia,847,FLRT3,0.11741025745868683,0.09563164108618655
SatelliteGlia,847,PTPN23,0.06753368675708771,0.06139315230224321
SatelliteGlia,847,MAPK14,0.0839499682188034,0.0743801652892562
SatelliteGlia,847,VASH2,0.0,0.0
SatelliteGlia,847,TNIK,0.19570055603981018,0.15938606847697756
SatelliteGlia,847,WDR81,0.05392490327358246,0.0448642266824085
SatelliteGlia,847,CCDC160,0.032571110874414444,0.031877213695395513
SatelliteGlia,847,SLC2A1,0.2699081301689148,0.21841794569067297
SatelliteGlia,847,ANKRD13B,0.0569000244140625,0.049586776859504134
SatelliteGlia,847,NPY,0.02411377988755703,0.020070838252656435
SatelliteGlia,847,AXL,0.2800728976726532,0.23494687131050768
SatelliteGlia,847,SERPINE1,0.0017363770166411996,0.0011806375442739079
SatelliteGlia,847,WBP1L,0.11319933831691742,0.10153482880755609
SatelliteGlia,847,ITPKC,0.02256879024207592,0.020070838252656435
SatelliteGlia,847,ACVR1,0.08347824215888977,0.0755608028335301
SatelliteGlia,847,LNP1,0.0,0.0
SatelliteGlia,847,AGRN,0.1996832937002182,0.15702479338842976
SatelliteGlia,847,VIP,0.0,0.0
SatelliteGlia,847,REG3B,0.001161829917691648,0.0011806375442739079
SatelliteGlia,847,TNS3,0.5796202421188354,0.4380165289256198
SatelliteGlia,847,ANKRD1,0.0,0.0
SatelliteGlia,847,CTTN,0.2169736623764038,0.18181818181818182
SatelliteGlia,847,RUBCN,0.07410357147455215,0.06375442739079103
SatelliteGlia,847,MEGF11,0.04386924207210541,0.04014167650531287
Schwann,1492,SPRR1A,0.08535639941692352,0.128686327077748
Schwann,1492,ATF3,1.0296885967254639,0.7989276139410187
Schwann,1492,TFE3,0.14978983998298645,0.3920911528150134
Schwann,1492,CDHR5,0.00025492400163784623,0.0006702412868632708
Schwann,1492,GALNS,0.006303674075752497,0.022117962466487937
Schwann,1492,CHL1,0.41613879799842834,0.6642091152815014
Schwann,1492,FLNC,0.005751261953264475,0.011394101876675604
Schwann,1492,RNF19B,0.29645687341690063,0.618632707774799
Schwann,1492,SRRM4,0.1331772804260254,0.3605898123324397
Schwann,1492,ECEL1,0.020518185570836067,0.03686327077747989
Schwann,1492,FLRT3,0.22629454731941223,0.4383378016085791
Schwann,1492,PTPN23,0.13090401887893677,0.353887399463807
Schwann,1492,MAPK14,0.30960899591445923,0.6280160857908847
Schwann,1492,VASH2,0.03719189390540123,0.12064343163538874
Schwann,1492,TNIK,0.16188044846057892,0.36863270777479895
Schwann,1492,WDR81,0.07186320424079895,0.2084450402144772
Schwann,1492,CCDC160,0.045571938157081604,0.14611260053619302
Schwann,1492,SLC2A1,0.15572959184646606,0.403485254691689
Schwann,1492,ANKRD13B,0.1750561147928238,0.4316353887399464
Schwann,1492,NPY,0.009443506598472595,0.022117962466487937
Schwann,1492,AXL,0.04746445268392563,0.12734584450402145
Schwann,1492,SERPINE1,0.0012138205347582698,0.0020107238605898124
Schwann,1492,WBP1L,0.08478972315788269,0.23994638069705093
Schwann,1492,ITPKC,0.03712337091565132,0.11058981233243968
Schwann,1492,ACVR1,0.10946134477853775,0.30160857908847183
Schwann,1492,LNP1,0.0,0.0
Schwann,1492,AGRN,0.1526881754398346,0.3987935656836461
Schwann,1492,VIP,0.0,0.0
Schwann,1492,REG3B,0.0,0.0
Schwann,1492,TNS3,0.17306187748908997,0.38605898123324395
Schwann,1492,ANKRD1,0.0002685804502107203,0.0006702412868632708
Schwann,1492,CTTN,0.3780148923397064,0.703083109919571
Schwann,1492,RUBCN,0.162460058927536,0.42091152815013405
Schwann,1492,MEGF11,0.006560548208653927,0.01943699731903485
