symbol,chembl_id,pref_name,drug_lc,mw,logp,tpsa,hbd,rotb,tag,rc,sec,reason
MAPK14,CHEMBL3545252,DOCETAXEL,docetaxel,807.9,3.26,224.4,5.0,8.0,t2_other,-9,600.07,timeout_600s（大环/高柔性分子）
MAPK14,CHEMBL3545432,IXAZOMIB CITRATE,ixazomib citrate,517.1,1.54,168.3,4.0,11.0,t2_other,1,0.52,unsupported_atom_type_B（含硼药物，Vina 无法解析）
MAPK14,CHEMBL3707372,VOXILAPREVIR,voxilaprevir,861.0,5.35,195.2,3.0,8.0,t2_other,-9,600.07,timeout_600s（大环/高柔性分子）
MAPK14,CHEMBL3989887,TACROLIMUS,tacrolimus,804.0,4.64,178.4,3.0,7.0,t2_other,-9,600.13,timeout_600s（大环/高柔性分子）
MAPK14,CHEMBL428647,PACLITAXEL,paclitaxel,853.9,3.74,221.3,4.0,10.0,t2_other,-9,600.09,timeout_600s（大环/高柔性分子）
MAPK14,CHEMBL443052,TAVABOROLE,tavaborole,151.9,0.04,29.5,1.0,0.0,t2_other,1,0.4,unsupported_atom_type_B（含硼药物，Vina 无法解析）
MAPK14,CHEMBL484785,CRISABOROLE,crisaborole,251.0,1.57,62.5,1.0,2.0,t2_other,1,0.54,unsupported_atom_type_B（含硼药物，Vina 无法解析）
MAPK14,CHEMBL5315122,BORTEZOMIB D-MANNITOL,bortezomib d-mannitol,530.4,-1.13,183.4,6.0,13.0,t2_other,1,0.29,unsupported_atom_type_B（含硼药物，Vina 无法解析）
SERPINE1,CHEMBL1201748,CABAZITAXEL,cabazitaxel,835.9,4.57,202.4,3.0,10.0,t2_other,-9,600.37,timeout_600s（大环/高柔性分子）
SERPINE1,CHEMBL2220427,ERYTHROMYCIN PROPIONATE,erythromycin propionate,790.0,2.75,200.0,4.0,9.0,t2_other,-9,600.64,timeout_600s（大环/高柔性分子）
SERPINE1,CHEMBL325041,BORTEZOMIB,bortezomib,384.2,0.36,124.4,4.0,9.0,t2_other,1,0.38,unsupported_atom_type_B（含硼药物，Vina 无法解析）
SERPINE1,CHEMBL3317857,VABORBACTAM,vaborbactam,297.1,0.45,95.9,3.0,5.0,t2_other,1,0.36,unsupported_atom_type_B（含硼药物，Vina 无法解析）
SERPINE1,CHEMBL3545252,DOCETAXEL,docetaxel,807.9,3.26,224.4,5.0,8.0,t2_other,-9,600.2,timeout_600s（大环/高柔性分子）
SERPINE1,CHEMBL3545432,IXAZOMIB CITRATE,ixazomib citrate,517.1,1.54,168.3,4.0,11.0,t2_other,1,3.2,unsupported_atom_type_B（含硼药物，Vina 无法解析）
SERPINE1,CHEMBL428647,PACLITAXEL,paclitaxel,853.9,3.74,221.3,4.0,10.0,t2_other,-9,600.1,timeout_600s（大环/高柔性分子）
SERPINE1,CHEMBL443052,TAVABOROLE,tavaborole,151.9,0.04,29.5,1.0,0.0,t2_other,1,1.11,unsupported_atom_type_B（含硼药物，Vina 无法解析）
SERPINE1,CHEMBL484785,CRISABOROLE,crisaborole,251.0,1.57,62.5,1.0,2.0,t2_other,1,0.41,unsupported_atom_type_B（含硼药物，Vina 无法解析）
SERPINE1,CHEMBL5315122,BORTEZOMIB D-MANNITOL,bortezomib d-mannitol,530.4,-1.13,183.4,6.0,13.0,t2_other,1,0.29,unsupported_atom_type_B（含硼药物，Vina 无法解析）
SLC2A1,CHEMBL1136,TELITHROMYCIN,telithromycin,812.0,4.93,171.8,1.0,11.0,t2_other,-9,601.09,timeout_600s（大环/高柔性分子）
SLC2A1,CHEMBL1200506,ERYTHROMYCIN LACTOBIONATE,erythromycin lactobionate,733.9,1.79,193.9,5.0,7.0,t2_other,-9,602.36,timeout_600s（大环/高柔性分子）
SLC2A1,CHEMBL1200510,ERYTHROMYCIN STEARATE,erythromycin stearate,733.9,1.79,193.9,5.0,7.0,t2_other,-9,601.46,timeout_600s（大环/高柔性分子）
SLC2A1,CHEMBL1201748,CABAZITAXEL,cabazitaxel,835.9,4.57,202.4,3.0,10.0,t2_other,-9,600.64,timeout_600s（大环/高柔性分子）
SLC2A1,CHEMBL1741,CLARITHROMYCIN,clarithromycin,748.0,2.44,182.9,4.0,8.0,t2_other,-9,600.52,timeout_600s（大环/高柔性分子）
SLC2A1,CHEMBL2218877,ERYTHROMYCIN ESTOLATE,erythromycin estolate,790.0,2.75,200.0,4.0,9.0,t2_other,-9,600.14,timeout_600s（大环/高柔性分子）
SLC2A1,CHEMBL2220427,ERYTHROMYCIN PROPIONATE,erythromycin propionate,790.0,2.75,200.0,4.0,9.0,t2_other,-9,600.41,timeout_600s（大环/高柔性分子）
SLC2A1,CHEMBL269732,TACROLIMUS ANHYDROUS,tacrolimus anhydrous,804.0,4.64,178.4,3.0,7.0,t2_other,-9,600.09,timeout_600s（大环/高柔性分子）
SLC2A1,CHEMBL325041,BORTEZOMIB,bortezomib,384.2,0.36,124.4,4.0,9.0,t2_other,1,0.76,unsupported_atom_type_B（含硼药物，Vina 无法解析）
SLC2A1,CHEMBL3317857,VABORBACTAM,vaborbactam,297.1,0.45,95.9,3.0,5.0,t2_other,1,4.04,unsupported_atom_type_B（含硼药物，Vina 无法解析）
SLC2A1,CHEMBL3545252,DOCETAXEL,docetaxel,807.9,3.26,224.4,5.0,8.0,t2_other,-9,600.66,timeout_600s（大环/高柔性分子）
SLC2A1,CHEMBL3545432,IXAZOMIB CITRATE,ixazomib citrate,517.1,1.54,168.3,4.0,11.0,t2_other,1,9.36,unsupported_atom_type_B（含硼药物，Vina 无法解析）
SLC2A1,CHEMBL3989887,TACROLIMUS,tacrolimus,804.0,4.64,178.4,3.0,7.0,t2_other,-9,600.51,timeout_600s（大环/高柔性分子）
SLC2A1,CHEMBL428647,PACLITAXEL,paclitaxel,853.9,3.74,221.3,4.0,10.0,t2_other,-9,600.11,timeout_600s（大环/高柔性分子）
SLC2A1,CHEMBL443052,TAVABOROLE,tavaborole,151.9,0.04,29.5,1.0,0.0,t2_other,1,1.23,unsupported_atom_type_B（含硼药物，Vina 无法解析）
SLC2A1,CHEMBL484785,CRISABOROLE,crisaborole,251.0,1.57,62.5,1.0,2.0,t2_other,1,0.38,unsupported_atom_type_B（含硼药物，Vina 无法解析）
SLC2A1,CHEMBL501867,VINCRISTINE SULFATE,vincristine sulfate,825.0,3.52,171.2,3.0,8.0,t2_other,-9,602.41,timeout_600s（大环/高柔性分子）
SLC2A1,CHEMBL529,AZITHROMYCIN,azithromycin,749.0,1.9,180.1,5.0,7.0,t2_other,-9,600.23,timeout_600s（大环/高柔性分子）
SLC2A1,CHEMBL5315122,BORTEZOMIB D-MANNITOL,bortezomib d-mannitol,530.4,-1.13,183.4,6.0,13.0,t2_other,1,0.36,unsupported_atom_type_B（含硼药物，Vina 无法解析）
TNIK,CHEMBL1136,TELITHROMYCIN,telithromycin,812.0,4.93,171.8,1.0,11.0,t2_other,-9,600.26,timeout_600s（大环/高柔性分子）
TNIK,CHEMBL1200506,ERYTHROMYCIN LACTOBIONATE,erythromycin lactobionate,733.9,1.79,193.9,5.0,7.0,t2_other,-9,600.12,timeout_600s（大环/高柔性分子）
TNIK,CHEMBL1200510,ERYTHROMYCIN STEARATE,erythromycin stearate,733.9,1.79,193.9,5.0,7.0,t2_other,-9,600.1,timeout_600s（大环/高柔性分子）
TNIK,CHEMBL1200686,PIMECROLIMUS,pimecrolimus,810.5,5.72,158.1,2.0,6.0,t2_other,-9,600.1,timeout_600s（大环/高柔性分子）
TNIK,CHEMBL1201748,CABAZITAXEL,cabazitaxel,835.9,4.57,202.4,3.0,10.0,t2_other,-9,600.1,timeout_600s（大环/高柔性分子）
TNIK,CHEMBL1741,CLARITHROMYCIN,clarithromycin,748.0,2.44,182.9,4.0,8.0,t2_other,-9,600.16,timeout_600s（大环/高柔性分子）
TNIK,CHEMBL2218877,ERYTHROMYCIN ESTOLATE,erythromycin estolate,790.0,2.75,200.0,4.0,9.0,t2_other,-9,600.12,timeout_600s（大环/高柔性分子）
TNIK,CHEMBL2220427,ERYTHROMYCIN PROPIONATE,erythromycin propionate,790.0,2.75,200.0,4.0,9.0,t2_other,-9,600.4,timeout_600s（大环/高柔性分子）
TNIK,CHEMBL269732,TACROLIMUS ANHYDROUS,tacrolimus anhydrous,804.0,4.64,178.4,3.0,7.0,t2_other,-9,600.17,timeout_600s（大环/高柔性分子）
TNIK,CHEMBL325041,BORTEZOMIB,bortezomib,384.2,0.36,124.4,4.0,9.0,t2_other,1,0.27,unsupported_atom_type_B（含硼药物，Vina 无法解析）
TNIK,CHEMBL3317857,VABORBACTAM,vaborbactam,297.1,0.45,95.9,3.0,5.0,t2_other,1,0.21,unsupported_atom_type_B（含硼药物，Vina 无法解析）
