celltype,contrast,symbol,mean_A,mean_B,delta_log,n_A,n_B,welch_p,note,bh_q
OPC,SNI_vs_Sham,AGRN,0.3770092725753784,0.31367969512939453,0.06332957744598389,2,2,0.5735422372817993,n=2v2 sample-level; descriptive only,
OPC,SNI_vs_Sham,VIP,0.0,0.0,0.0,2,2,,n=2v2 sample-level; descriptive only,
OPC,SNI_vs_Sham,TNS3,1.6336987018585205,1.4457290172576904,0.18796968460083008,2,2,0.1437550038099289,n=2v2 sample-level; descriptive only,
OPC,SNI_vs_Sham,ANKRD1,0.0,0.0,0.0,2,2,,n=2v2 sample-level; descriptive only,
OPC,SNI_vs_Sham,CTTN,0.11597386002540588,0.12889927625656128,-0.012925416231155396,2,2,0.6421615481376648,n=2v2 sample-level; descriptive only,
OPC,SNI_vs_Sham,RUBCN,0.45704370737075806,0.4996982216835022,-0.04265451431274414,2,2,0.7964405417442322,n=2v2 sample-level; descriptive only,
OPC,SNI_vs_Sham,MEGF11,1.9004528522491455,1.8429646492004395,0.057488203048706055,2,2,0.5191842317581177,n=2v2 sample-level; descriptive only,
Oligodendrocyte,SNI_vs_Sham,SPRR1A,0.00500303553417325,0.003311890410259366,0.0016911451239138842,3,3,0.7013997435569763,n=3v3 sample-level; descriptive only,
Oligodendrocyte,SNI_vs_Sham,ATF3,0.004882984794676304,0.0013051313580945134,0.0035778535529971123,3,3,0.18534980714321136,n=3v3 sample-level; descriptive only,
Oligodendrocyte,SNI_vs_Sham,TFE3,0.057338688522577286,0.02997850440442562,0.027360184118151665,3,3,0.2161920815706253,n=3v3 sample-level; descriptive only,
Oligodendrocyte,SNI_vs_Sham,CDHR5,0.0,0.0,0.0,3,3,,n=3v3 sample-level; descriptive only,
Oligodendrocyte,SNI_vs_Sham,GALNS,0.03505523130297661,0.04882938787341118,-0.01377415657043457,3,3,0.6283242702484131,n=3v3 sample-level; descriptive only,
Oligodendrocyte,SNI_vs_Sham,CHL1,0.23259170353412628,0.2210785299539566,0.011513173580169678,3,3,0.9110010266304016,n=3v3 sample-level; descriptive only,
Oligodendrocyte,SNI_vs_Sham,FLNC,0.002843485213816166,0.00531270494684577,-0.002469219733029604,3,3,0.6626425385475159,n=3v3 sample-level; descriptive only,
Oligodendrocyte,SNI_vs_Sham,RNF19B,0.04409720376133919,0.02988586574792862,0.014211338013410568,3,3,0.46964922547340393,n=3v3 sample-level; descriptive only,
Oligodendrocyte,SNI_vs_Sham,SRRM4,0.18092183768749237,0.1671076864004135,0.013814151287078857,3,3,0.909554660320282,n=3v3 sample-level; descriptive only,
