,log2FC,t,p,mean_case,mean_ctrl,FDR,n_case,n_ctrl,dataset,contrast,axis
OVCH1,0.08844095876342722,4.369542956287663,0.0006413567033743312,0.08844095876342722,0.0,0.241611897295178,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
FASTKD2,0.1654790815817977,4.217223295287383,0.0007005695004921065,4.493006394600309,4.3275273130185115,0.25655220271370904,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
PDK1,0.4444939785296427,4.7170584861875025,0.0007032842513341123,3.9593349944877123,3.5148410159580696,0.25655220271370904,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
SNORD24,0.2786119679937384,4.225836676102922,0.000708256240237464,0.6287568989082488,0.35014493091451043,0.25655220271370904,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
STRA8,-0.13363915512658364,-5.618478778424979,0.0007231382668906959,0.02903591283478224,0.16267506796136588,0.2586271973763256,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
CSGALNACT2P1,0.07979762857034993,4.289380599295169,0.0007487742756506935,0.07979762857034993,0.0,0.26324970218577864,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
HMX3,0.08474378248088091,4.285310334823283,0.0007546975959881103,0.08474378248088091,0.0,0.26324970218577864,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
TWSG1-DT,0.18424403324599578,4.188457649204984,0.0007809263530881252,0.3475992491973724,0.16335521595137661,0.2690767460994133,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
LINC02371,0.1363274814455516,4.260405371043195,0.0007920029359291127,0.1363274814455516,0.0,0.2696054331535078,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
ZNF503,0.2532134235625012,4.116425037689373,0.0008148702972437308,4.485987305481377,4.232773881918876,0.27408744498005205,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
DIABLO,-0.22829092712076005,-5.294060170466483,0.0008254097503902589,7.25046047948878,7.47875140660954,0.27436620102972203,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
PGAP4,0.3624384719718199,4.7436655378718315,0.0008497407166201607,5.447242923072775,5.084804451100955,0.2759558620772394,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
NPPB,-0.31011087166212115,-7.715950932909513,0.0008549027130316002,0.1830298551707946,0.49314072683291577,0.2759558620772394,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
SAMM50P1,0.050070856228613084,4.218262136350171,0.0008594930226798707,0.050070856228613084,0.0,0.2759558620772394,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
GSDMD,-0.30210056436656196,-4.2614240718950915,0.0008771021588218868,0.730845928571459,1.032946492938021,0.2774926576929055,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
IRAG2,0.20659519821627373,4.642490654523154,0.0008839222479068979,0.39354086930697546,0.18694567109070173,0.2774926576929055,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
GLTC1,0.3296022503122048,4.175115787348897,0.0009221896165500227,0.8645734629685549,0.5349712126563501,0.28632467501103676,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
MIR6843,0.09761391786190318,4.158916064881896,0.0009646638534542714,0.09761391786190318,0.0,0.29625665777714116,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
CXADR,0.19615336452540166,4.046692639491526,0.001020420988980172,5.278116519029609,5.081963154504208,0.30887048727248617,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
CFAP263,0.3198784837143607,4.08707517237702,0.0010377939046231639,3.5399839238579034,3.2201054401435427,0.30887048727248617,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
SP110,-0.1858480555306219,-4.576561279053956,0.0010470424798455966,2.8917208091336035,3.0775688646642254,0.30887048727248617,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
RPL12P6,-0.2884267898945083,-6.520649682219462,0.0010494643865703501,0.1370293993353818,0.4254561892298901,0.30887048727248617,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
MAOA,0.3004900356134885,5.160315388281466,0.0011148346350682346,3.655059790865195,3.3545697552517066,0.3241939480358095,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
ARMCX2,0.14190360924490886,5.799900655539123,0.0011244781945037633,5.854938291246518,5.713034682001609,0.3241939480358095,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
FAM181A,0.05217754375216135,4.059468873858108,0.0011713488445999807,0.05217754375216135,0.0,0.33334298284895425,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
HEXB,0.2605950849807348,4.670215932601628,0.0012009104181690364,6.14672993304398,5.886134848063246,0.33334298284895425,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
ADGRF5P1,0.20618014466120277,4.0219369745061675,0.0012106819180161504,0.25567544464485964,0.04949529998365687,0.33334298284895425,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
VPS35P1,0.051444970539772594,4.035177773876898,0.0012283843135060765,0.051444970539772594,0.0,0.33334298284895425,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
RPS10P11,0.0752131339448132,4.033758024011949,0.0012318043024390098,0.0752131339448132,0.0,0.33334298284895425,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
LINC02097,0.11774660570346324,4.022598222331318,0.0012590274605949817,0.11774660570346324,0.0,0.33334298284895425,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
F5,-0.08316584776644317,-3.8999269802173444,0.001276921152487654,0.058935548282732,0.14210139604917518,0.33334298284895425,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
CFAP65,-0.3781383296374048,-5.210673841259084,0.001300632551339638,2.6232542858937418,3.0013926155311466,0.33334298284895425,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
HSPB8,-0.19464426585031258,-3.921527570217585,0.0013066748202490948,0.5892156763917495,0.7838599422420621,0.33334298284895425,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
LINC02028,-0.2123008037049349,-4.731743173524349,0.0013135438219258585,0.2091850641813157,0.4214858678862506,0.33334298284895425,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
TFB2MP1,-0.4380842167340132,-6.104955250487108,0.0013333337597447568,0.6576612798016773,1.0957454965356905,0.33334298284895425,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
TTC23-AS1,0.37948225727622964,4.913697664433487,0.001343268047073211,0.7420971932227122,0.36261493594648253,0.33334298284895425,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
TSLIG3C,-0.2128257314921136,-4.194417652961909,0.0013449241521542202,4.874955693708183,5.087781425200297,0.33334298284895425,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
